target,feature,spearman_r,p,n
skill_p3b,abs_lat,-0.04611325362441365,0.48841218504320943,228
skill_p3b,centroid_lat,-0.0069638150933959185,0.9167133526426532,228
skill_p3b,log10_area,-0.14669876892951847,0.026765243600440216,228
skill_p3b,era5_coverage,-0.12356772507611292,0.06250145836330245,228
skill_p3b,nbr_corr,0.21674454396561643,0.0009876274525392708,228
skill_p3b,nbr_dist_km,-0.07210542036546444,0.2782780705957818,228
skill_p3b,nbr_stable,0.35494283231901075,3.5774401945674426e-08,228
skill_p3b,rho,0.0029969311829677113,0.9641040845541314,228
skill_p3b,log_qr,-0.039508867777623656,0.5528307482483935,228
skill_p3b,coupling,0.15243913016443827,0.02130121384739153,228
skill_p3b,glaciated,-0.0025351383168067056,0.969632339637941,228
dm_p3b,abs_lat,0.07395535180023428,0.2661006796638774,228
dm_p3b,centroid_lat,0.03222207260065791,0.6283900329650787,228
dm_p3b,log10_area,0.11891843183550899,0.07311308894532487,228
dm_p3b,era5_coverage,0.11803656458538571,0.07528237700358095,228
dm_p3b,nbr_corr,-0.14975523078262065,0.023722473659744826,228
dm_p3b,nbr_dist_km,0.013954124122062891,0.8340151884218597,228
dm_p3b,nbr_stable,-0.28006037824327007,1.772519632938582e-05,228
dm_p3b,rho,-0.00022679479222458357,0.9972826466696768,228
dm_p3b,log_qr,0.007962117169884486,0.9048266150365185,228
dm_p3b,coupling,-0.07882556572852419,0.23580259213979388,228
dm_p3b,glaciated,-0.017745968217646936,0.7898491968376354,228
skill_p4cond,abs_lat,-0.037177133820064656,0.5765234241504833,228
skill_p4cond,centroid_lat,-0.00098716483222754,0.9881726419698376,228
skill_p4cond,log10_area,-0.1421740103292878,0.03188146294543093,228
skill_p4cond,era5_coverage,-0.11592960046654929,0.0806769659589815,228
skill_p4cond,nbr_corr,0.2141070099837579,0.0011420103978576467,228
skill_p4cond,nbr_dist_km,-0.0722552687452399,0.2772778774955201,228
skill_p4cond,nbr_stable,0.3562907164923741,3.148971686785569e-08,228
skill_p4cond,rho,0.004826476672029419,0.9422214666770333,228
skill_p4cond,log_qr,-0.04502079121008184,0.49878309568777457,228
skill_p4cond,coupling,0.153093290544446,0.020744553302835672,228
skill_p4cond,glaciated,-0.0021729757001200333,0.9739689200905695,228
dm_p4cond,abs_lat,0.05935644952752773,0.3723267707830316,228
dm_p4cond,centroid_lat,0.020903595001199784,0.7535690229956897,228
dm_p4cond,log10_area,0.11527452800865061,0.08241634423708345,228
dm_p4cond,era5_coverage,0.11402614417466439,0.08581466270096848,228
dm_p4cond,nbr_corr,-0.14218738135943398,0.03186519587223177,228
dm_p4cond,nbr_dist_km,0.007267140174583253,0.9130995946452446,228
dm_p4cond,nbr_stable,-0.2818575571410879,1.5568855834102176e-05,228
dm_p4cond,rho,0.00010934748910828135,0.9986898455704405,228
dm_p4cond,log_qr,0.01672712840331404,0.8016568212589765,228
dm_p4cond,coupling,-0.07560543465575176,0.25555065677785227,228
dm_p4cond,glaciated,-0.016659480367586924,0.8024424412838759,228
skill_era5r,abs_lat,-0.04611325362441365,0.48841218504320943,228
skill_era5r,centroid_lat,-0.0069638150933959185,0.9167133526426532,228
skill_era5r,log10_area,-0.14669876892951847,0.026765243600440216,228
