challenger,reference,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
kalman_ar1,damped_persistence_rho,1,0.005642330747080648,-0.014245300199126999,0.026184815459597065,-0.5238882005879063,0.6017524528325089
kalman_ar1,ridge_own_perbasin,1,-0.006604464273098909,-0.02490754112092562,0.013014609350822662,0.7347029306118706,0.46459117404197847
kalman_ar1,ridge_own_lags,1,0.0009345925480752637,-0.01822185645621957,0.02025253845965103,-0.09978014322011271,0.9207594851191472
kalman_own_ridge,ridge_own_perbasin,1,-0.009569011429757301,-0.027949359831362135,0.009757365312410605,1.0770837716638961,0.28456347196009835
ridge_own_perbasin,damped_persistence_rho,1,0.01216644218742191,-0.0117509410919391,0.03465120916441552,-0.9858761152093514,0.32705916667201496
kalman_ar1,damped_persistence_rho,2,0.0634624242484656,0.04758937590893256,0.08011722592068644,-7.19719944147966,2.652429489086469e-10
kalman_ar1,ridge_own_perbasin,2,0.03212599014525319,0.015828109083377236,0.05020079217269376,-3.5122139392904193,0.0007256258711364847
kalman_ar1,ridge_own_lags,2,0.04750893915941368,0.03638906314817881,0.05882895405898543,-8.07003586539337,5.076381064465055e-12
kalman_own_ridge,ridge_own_perbasin,2,0.019806425434975794,0.004356455522785946,0.03595106253512065,-2.343907356948254,0.021503255673549826
ridge_own_perbasin,damped_persistence_rho,2,0.03237656325528904,0.013409982852930519,0.0514369302438514,-2.8291638323594412,0.005865558839109342
kalman_ar1,damped_persistence_reg,3,0.04642759226776505,0.03628931685875699,0.05829279632828344,-6.670722158920413,2.8921357642978034e-09
kalman_ar1,ridge_own_perbasin,3,0.024355767922390914,0.009791292493764103,0.04014384100910614,-3.0116616423381615,0.0034650363352198023
kalman_ar1,ridge_own_lags,3,0.025298296130866538,0.012436677839999268,0.03745239648625712,-3.9857841747078675,0.00014636349698835826
kalman_own_ridge,ridge_own_perbasin,3,0.02855259121446352,0.013831274384053547,0.04464883088818952,-3.50607451286126,0.0007443955462303766
ridge_own_perbasin,damped_persistence_reg,3,0.022622820511502217,0.006676127511269567,0.038176053548267815,-2.688783610883719,0.008703821670838163
kalman_ar1,damped_persistence_reg,4,0.015450863331392006,0.003947442337591589,0.02746702380776387,-2.4327643328380604,0.01721525400462114
kalman_ar1,ridge_own_perbasin,4,0.021069933243867967,0.0064796994587164505,0.03889426759808419,-2.2610523326999985,0.02647183254434151
kalman_ar1,ridge_own_lags,4,0.020148120545140702,0.007397899671884617,0.03321904202124469,-3.195540375991727,0.0019982657788053236
kalman_own_ridge,ridge_own_perbasin,4,0.038059756449858595,0.02290198785671099,0.057260117949918775,-3.85680506682384,0.00023119811917945727
ridge_own_perbasin,damped_persistence_reg,4,-0.0057400115731409684,-0.020369449031100623,0.005410411263449371,0.7997947859402746,0.42619820690758214
kalman_ar1,damped_persistence_reg,5,0.023572762914561785,0.012947222533601041,0.03426106187165998,-4.103399264636057,9.83111573853587e-05
kalman_ar1,ridge_own_perbasin,5,0.03918011443385139,0.022376466738168958,0.06242559953880502,-3.1988013312382204,0.0019867213944756517
kalman_ar1,ridge_own_lags,5,0.033938755780595464,0.021127395742509512,0.04845587394456554,-5.280411395836575,1.1063290011034707e-06
kalman_own_ridge,ridge_own_perbasin,5,0.05047088366750363,0.033957162789561686,0.07352383984101683,-4.182354178040951,7.410589354072014e-05
ridge_own_perbasin,damped_persistence_reg,5,-0.016243784869307998,-0.035450431934960065,-0.0035604270118331505,1.764768264261183,0.08146768269582431
kalman_ar1,damped_persistence_reg,6,0.0473970271495846,0.03698911799514017,0.060572064216634615,-7.4939784558255855,8.928548471268667e-11
kalman_ar1,ridge_own_perbasin,6,0.06665045390854951,0.048656161491676606,0.0963479883720061,-4.3880518947085365,3.5443286951448394e-05
kalman_ar1,ridge_own_lags,6,0.05603331514712695,0.04191254733873396,0.06938148840326126,-8.499841210853917,1.0093511733321597e-12
kalman_own_ridge,ridge_own_perbasin,6,0.061632423777123524,0.04572225568105674,0.08837467080746521,-4.628682878390255,1.4429762814051896e-05
ridge_own_perbasin,damped_persistence_reg,6,-0.02062831319690628,-0.04304056718798361,-0.008494630315298957,1.9203725348124048,0.05846613128459878
