,stratum
C_Aleutians_South_Alaska_Coast,glaciated
C_Amazon_River_Delta,high
C_Angola_Coast,low
C_Balkan_Peninsula_and_Adriatic_Coast,mid
C_Banks_Island,glaciated
C_Beaufort_Sea_Coast,low
C_Bight_of_Benin_Coast,mid
C_Bismark_Sea_Islands,sub_noise
C_Borneo,low
C_Buor_Khaya_Gulf_Coast,mid
C_California_and_Baja_California,mid
C_Canadian_South_Arctic_Ocean_Coast,low
C_Capim_River_Delta,high
C_Carribean_Coast,mid
C_Central_America_Gulf_of_Mexico_Caribbean_Coast,mid
C_Central_American_Pacific_Coast,low
C_Chao_Phraya_River_Gulf_of_Thailand_Coast,mid
C_Chukchi_Peninsula,mid
C_Churchill_Seal_Rivers,low
C_Columbia_Ecuador_Pacific_Coast,low
C_Crimea_West_Azov_Sea_Coast,mid
C_Cuba,low
C_Deccan_Plateau_East_Indian_Subcontinent_Coast,mid
C_Denmark_Germany_Coast,sub_noise
C_East_Australia_Coast,mid
C_East_Azov_Sea_Northeast_Black_Sea_Coast,mid
C_East_Barents_Sea_Coast,low
C_East_Beaufort_Sea_Amundsen_Gulf_Coast,low
C_East_Brazil_South_Atlantic_Coast,mid
C_East_Caspian_Sea_Coast,sub_noise
C_East_Central_Africa_Coast,low
C_East_China_Coast,mid
C_East_Hudson_Bay_Coast,low
C_East_Mediterranean_Coast,mid
C_East_Mississippi_Delta,mid
C_East_Nile_Delta,sub_noise
C_East_Ob_Bay_Coast,mid
C_East_Red_Sea_North_Gulf_of_Aden_Coast,sub_noise
C_East_Timor_Islands,sub_noise
C_Ellef_Ringnes_Bathurst_Devon_Islands,high
C_Ellesmere_Island,high
C_Great_Britain,sub_noise
C_Greater_Dniester_Basin,low
C_Gulf_of_Darien_Coast,mid
C_Gulf_of_Guinea_Coast,low
C_Gydan_Bay_Coast,mid
C_Hainan,low
C_Hispaniola,low
C_Hokkaido,low
C_Hub_Porali_Basin,low
C_Iberian_Atlantic_Coast,mid
C_Iceland,glaciated
C_India_West_Coast,mid
C_Indian_Ocean_Africa_Coast,mid
C_Ireland,sub_noise
C_Irrawaddy_Sittang_Salween_Basin,mid
C_Japan,mid
C_Java,low
C_Kamchatka_Peninsula,low
C_La_Plata_Delta,high
C_Labrador_Sea_Coast,low
C_Madagascar,mid
C_Malaysian_Peninsula_Coast,mid
C_Melville_Prince_Patrick_Islands,mid
C_Namibia_Coast,low
C_Neva_River_Finland_Coast,mid
C_New_Brunswick_and_Nova_Scotia_Coast,mid
C_New_Siberian_Islands,glaciated
C_New_Zealand_North_Island,sub_noise
C_New_Zealand_South_Island,sub_noise
C_Nigerian_Delta,low
C_North_Argentina_South_Atlantic_Coast,mid
C_North_Australia_Coast,mid
C_North_Baffin_Island_Coast,high
C_North_Brazil_South_Atlantic_Coast,high
C_North_Caspian_Sea_Coast,low
C_North_Chile_South_Pacific_Coast,low
C_North_East_Bay_of_Bengal_Coast,mid
C_North_East_Siberian_Sea_Coast,low
C_North_Gulf_of_Oman_Coast,sub_noise
C_North_Korea_Bay_Korean_Peninsula,low
C_North_Siberia_Coast,low
C_North_St_Lawrence_Seaway_Coast,low
C_North_Vietnam_South_China_Coast,mid
C_North_West_Africa_Coast,sub_noise
C_Northeast_South_America_Coast,high
C_Northwest_Hudson_Bay_Coast,low
C_Northwest_Mediterranean_Coast,low
C_Norway_Coast,low
C_Novaya_Zemlya,glaciated
C_Olenyok_Delta,sub_noise
C_Oregon_Coast,mid
C_Papua_New_Guinea_Island,low
C_Patagonia,glaciated
C_Peru_Pacific_Coast,sub_noise
C_Philippines,sub_noise
C_Po_River_and_East_Italy_Coast,mid
C_Prince_of_Wales_Island,low
C_Sakhalin_Island,high
C_Sardinia_and_Corsica,low
C_Severnaya_Zemlya,glaciated
C_Seward_Peninsula_Alaskan_North_Slope,low
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,low
C_Sicily,sub_noise
C_Somerset_Island,sub_noise
C_South_Africa_South_Coast,low
C_South_Africa_West_Coast,sub_noise
C_South_Alaska_Coast_Frazer_River,high
C_South_Amapa_Coast,high
C_South_Australia_Coast,sub_noise
C_South_Baffin_Island_Coast,low
C_South_Baltic_Coast,low
C_South_Black_Sea_Coast,low
C_South_Chile_South_Pacific_Coast,mid
C_South_East_Brazil_Coast,mid
C_South_East_Russia_Coast,sub_noise
C_South_Gulf_of_Aden_Coast,sub_noise
C_South_Gulf_of_Oman_West_Arabian_Sea_Coast,sub_noise
C_South_Hudson_Strait_Ungava_Bay_Coast,low
C_South_Mediterranean_Coast,sub_noise
C_South_Zambezia_Coast,sub_noise
C_Southhampton_Coats_Islands,sub_noise
C_Southwest_Hudson_Bay_Coast,low
C_Southwest_Mediterranean_Coast,low
C_Sri_Lanka,mid
C_Sulawesi,low
C_Sumatra,low
C_Svalbard,glaciated
C_Sweden_Coast,low
C_Taiwan,sub_noise
C_Tasmania,low
C_Texas_Gulf_Coast,mid
C_Thar_Desert_Sabarmati_River_Gulf_of_Cambay_Luni_Delta,mid
C_US_East_Gulf_of_Mexico_North_Atlantic_Coast,mid
C_US_North_Atlantic_Coast,low
C_Uda_Basin,low
C_Uruguay_South_Brazil_Coast,mid
C_Victoria_Island,sub_noise
C_Vietnam_Coast,mid
C_West_Africa_Coast,low
C_West_Australia_Coast,sub_noise
C_West_Barents_Sea_Coast,low
C_West_Black_Sea_Coast,mid
C_West_Caspian_Sea_Coast,mid
C_West_Continental_Europe,low
C_West_Italy_Coast,mid
C_West_Mississippi_Delta,mid
C_West_Nile_Delta,sub_noise
C_West_Red_Sea_Coast,sub_noise
C_Yamal_Peninsula,low
C_Yellow_Sea_Coast,mid
C_Yenisey_Gulf_Coast,mid
C_Ziya_He_Interior_Coast,low
E_Altai_Mountains,sub_noise
E_Amu_Darya,low
E_Australia_Northwest_Plateau,mid
E_Badain_Jaran_Desert,sub_noise
E_Central_Iran,sub_noise
E_Central_Mongolia,sub_noise
E_Dayan_Khyargas_Uvs_Nuur_Basins,sub_noise
E_East_Gobi_Desert,sub_noise
E_Egyptian_Western_Desert,sub_noise
E_Farahrud_Helmand_Hamun_i_Mashkel,low
E_Great_Basin_Great_Salt_Lake,low
E_Great_Victoria_Desert,sub_noise
E_Jordan_Northwest_Saudi_Arabia,sub_noise
E_Junggar_Pendi,sub_noise
E_La_Puna_Altiplano,sub_noise
E_Lake_Eyre_Basin,low
E_Lake_Rukwa_Basin,mid
E_Lakes_Balkash_Alakol,low
E_Libyian_Desert,sub_noise
E_Lower_Lake_Chad,low
E_North_Central_Arabia,sub_noise
E_North_Plateau_of_Tibet,sub_noise
E_Northern_Kordofan,sub_noise
E_Plateau_of_Tibet,low
E_Qinghai_Lake,sub_noise
E_Rift_Valley,low
E_Rub_al_Khali_Desert,sub_noise
E_Sahara,sub_noise
E_Saharan_and_Algerian_Atlas,sub_noise
E_Salinas_Grande_Mar_Chiquita,low
E_South_Interior_Africa,mid
E_Syr_Darya,low
E_Tarim_He_Lop_Nur,sub_noise
E_Turpan_Pendi,sub_noise
E_Upper_Lake_Chad,sub_noise
R_Amazon_River,mid
R_Amur_River,low
R_Colorado_River_Argentina,mid
R_Colorado_River_of_the_West_North_America,low
R_Columbia_River,low
R_Congo_River,low
R_Danube_River,mid
R_Dnieper_River,low
R_Don_River,mid
R_Ganges_Bramaputra_Basin,low
R_Indus_River,low
R_Lena_River,low
R_Limpopo_River,low
R_Mackenzie_River,sub_noise
R_Magdalena_River,mid
R_Mekong_River,mid
R_Mississippi_River,low
R_Murray_Darling_River,mid
R_Niger_River,sub_noise
R_Nile_River,low
R_Ob_River,low
R_Orange_River,low
R_Orinoco_River,mid
R_Parana_River,mid
R_Parnaiba_River,high
R_Rio_Grande_Rio_Bravo,low
R_Saint_Lawrence_River,mid
R_Sao_Francisco_River,high
R_Saskatchewan_Nelson_Rivers,low
R_Senegal_River,low
R_Shebelli_Juba_Rivers,sub_noise
R_Tigris_Euphrates_River,mid
R_Tocantins_River,mid
R_Volga_River,low
R_Volta_River,mid
R_Yangtze_River,low
R_Yellow_River_Huang_He,sub_noise
R_Yenisey_River,low
R_Yukon_River,low
R_Zambezi_River,mid
