stratum,1,2,3,4,5,6
glaciated,0.0331,0.0815,0.0163,-0.2521,-0.6903,-0.8387
high,-0.1103,-0.1398,-0.1012,-0.1019,-0.1243,-0.1125
low,0.0095,0.0261,0.026,-0.0,0.0082,0.0241
mid,-0.0149,0.0062,0.0236,0.0275,0.0316,0.0271
sub_noise,0.0463,0.0598,0.03,-0.0047,-0.0126,-0.0151
