model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_nbrin_corr_top1_s0,3,0.9345615724622438,18696,,,20.0,19.0,0.0952380952380952,,,-0.0067667073514567
lstm_corr_top1_era5_s0,3,0.935000009534495,18696,-1.8139552872290692,0.0733876837987099,,,,,,-0.0077115512225911
lstmres_corr_top1_hist12_s1,3,0.935668152804788,18696,,,20.0,15.0,0.2857142857142857,,,-0.0091522704744466
lstm_corr_top1_era5_s1,3,0.9363196833254692,18696,-1.170094237108429,0.2453943459453748,,,,,,-0.0105581586995175
lstmres_own_s1,3,0.9366260401820748,18696,1.732622246701869,0.0869688026051894,,,,,,-0.0112195611551937
ridge_corr_top1,3,0.9368030140609304,18696,,,,,,,,-0.0116017336498157
lstmres_own_s0,3,0.9371991721036216,18696,1.7272586200554307,0.0879327272206931,,,,,,-0.0124574928496155
ridge_corr_top1_era5,3,0.9399164808151472,18696,,,,,,1.057186289335011,0.293569364691874,-0.0183370283715409
lstmres_oof_own_s1,3,0.9419576711944188,18696,,,,,,,,-0.0227648191973737
lstmres_oof_corr_top1_s0,4,0.98893721218942,18468,,,20.0,20.0,0.0476190476190476,,,0.0160307841837391
lstmres_corr_top1_s0,4,0.9900186585942208,18468,-3.6176376024545807,0.0005189443224214,20.0,20.0,0.0476190476190476,,,0.0138775801515315
lstmres_oof_corr_top1_s1,4,0.9916237764034244,18468,,,20.0,20.0,0.0476190476190476,,,0.0106773863445787
lstmres_corr_top1_s1,4,0.991984212870372,18468,-3.596031136248157,0.000557410553527,20.0,20.0,0.0476190476190476,,,0.009958055561054
ridge_own,4,0.9969605266268762,18468,,,,,,,,0.0
lstm_own_era5_s0,4,0.9978841720715688,18468,-2.4495624758381727,0.0164872149961776,,,,,,-0.0018537811296193
lstmres_nbrin_corr_top1_s1,4,1.0013333889249698,18468,,,20.0,20.0,0.0476190476190476,,,-0.0087916267340053
ridge_own_era5,4,1.0014345239043685,18468,,,,,,1.3151620434571496,0.1922126780366284,-0.0089954135521606
lstmres_corr_top1_hist12_s0,4,1.00164075045839,18468,,,20.0,6.0,0.7142857142857143,,,-0.0094110234945752
lstm_own_era5_s1,4,1.0017092000421886,18468,0.0978125516605684,0.9223257921744532,,,,,,-0.0095489893775617
ridge_corr_top1,4,1.0026282538369933,18468,,,,,,,,-0.011402332573285
lstm_corr_top1_era5_s1,4,1.0030839477996183,18468,-1.9462387746963776,0.0551370402240486,,,,,,-0.0123219050510796
lstmres_nbrin_corr_top1_s0,4,1.004157240596318,18468,,,20.0,20.0,0.0476190476190476,,,-0.0144894187357291
lstm_corr_top1_era5_s0,4,1.005301317568044,18468,-1.1222577674816474,0.2651098658927545,,,,,,-0.0168024333217038
kalman_ar1,4,1.0057261676217673,18468,,,,,,,,-0.017662035994344
lstmres_oof_own_s0,4,1.007127955331837,18468,,,,,,,,-0.0205008610059345
lstmres_own_s0,4,1.007880382477434,18468,2.927752566034151,0.0044446577263423,,,,,,-0.0220262667458599
ridge_corr_top1_era5,4,1.008053828199251,18468,,,,,,1.5409339538365685,0.1272792752063812,-0.0223780571754736
lstmres_corr_top1_hist12_s1,4,1.0082379833867714,18468,,,20.0,0.0,1.0,,,-0.0227516352822856
lstmres_oof_own_s1,4,1.010342133810886,18468,,,,,,,,-0.0270249693836648
lstmres_own_s1,4,1.0106980763536475,18468,3.68405239784856,0.0004158740856319,,,,,,-0.0277487366311985
lstmres_oof_corr_top1_s0,5,1.0598910676861042,18240,,,20.0,20.0,0.0476190476190476,,,0.0147701563610072
lstmres_corr_top1_s0,5,1.0616406602771529,18240,-3.703838234803199,0.0003918446527659,20.0,20.0,0.0476190476190476,,,0.0115147773697418
lstmres_oof_corr_top1_s1,5,1.0635514491977809,18240,,,20.0,20.0,0.0476190476190476,,,0.0079533343237735
lstmres_corr_top1_s1,5,1.066394745805063,18240,-2.5562461147122044,0.0124978260010419,20.0,20.0,0.0476190476190476,,,0.00264197242335
ridge_own,5,1.0678062360157128,18240,,,,,,,,0.0
ridge_corr_top1,5,1.0739925828287988,18240,,,,,,,,-0.0116205860893743
kalman_ar1,5,1.074136070898854,18240,,,,,,,,-0.0118909141799277
ridge_own_era5,5,1.0744346029062417,18240,,,,,,1.8424897368064672,0.0691552881614471,-0.0124534570690153
lstmres_nbrin_corr_top1_s0,5,1.075301868071985,18240,,,20.0,20.0,0.0476190476190476,,,-0.0140885868249289
lstm_own_era5_s0,5,1.075313399927158,18240,0.4427750568113434,0.6591384714768448,,,,,,-0.0141103377132512
lstmres_nbrin_corr_top1_s1,5,1.0765646485933535,18240,,,20.0,20.0,0.0476190476190476,,,-0.016471774786851
lstm_corr_top1_era5_s0,5,1.0771373278793188,18240,-1.6336573325483386,0.1063101721022359,,,,,,-0.0175534881023895
lstm_own_era5_s1,5,1.0783456905468525,18240,1.4027039067487637,0.164622929693883,,,,,,-0.019837808402852
lstmres_corr_top1_hist12_s1,5,1.0798495520326703,18240,,,20.0,14.0,0.3333333333333333,,,-0.0226843246194869
lstmres_oof_own_s0,5,1.0801618769855468,18240,,,,,,,,-0.023275992272367
lstm_corr_top1_era5_s1,5,1.0803779887916678,18240,-0.5018773831397275,0.6171496838685193,,,,,,-0.0236854941255537
lstmres_corr_top1_hist12_s0,5,1.080705931944955,18240,,,20.0,1.0,0.9523809523809524,,,-0.0243070573266133
ridge_corr_top1_era5,5,1.0816585007538435,18240,,,,,,2.067075616800001,0.042002118547382,-0.0261135672039158
lstmres_own_s0,5,1.0829589419367178,18240,4.18160517196979,7.430589396553554e-05,,,,,,-0.0285823731943701
lstmres_oof_own_s1,5,1.08343041267494,18240,,,,,,,,-0.0294781634848011
lstmres_own_s1,5,1.0854468263456352,18240,3.830504305688752,0.0002550401037838,,,,,,-0.0333137315907214
lstmres_oof_corr_top1_s0,6,1.1264320471159677,18012,,,20.0,20.0,0.0476190476190476,,,0.0142652959296952
lstmres_corr_top1_s0,6,1.1278036851885134,18012,-4.852322647171425,6.1295199274796285e-06,20.0,20.0,0.0476190476190476,,,0.0118632079375524
kalman_ar1,6,1.1315158403692906,18012,,,,,,,,0.0053476167107396
lstmres_oof_corr_top1_s1,6,1.1315813341561451,18012,,,20.0,20.0,0.0476190476190476,,,0.0052324695176326
lstmres_corr_top1_s1,6,1.1326025972765037,18012,-3.265581097178347,0.0016241629821458,20.0,20.0,0.0476190476190476,,,0.0034360845825309
ridge_own,6,1.1345534854424566,18012,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,6,1.136999115112493,18012,,,20.0,20.0,0.0476190476190476,,,-0.0043158221912142
lstmres_nbrin_corr_top1_s1,6,1.140570380665805,18012,,,20.0,20.0,0.0476190476190476,,,-0.0106347564005984
lstm_own_era5_s0,6,1.1411496371686691,18012,-1.2953005526199002,0.1990371769880387,,,,,,-0.0116615503996682
ridge_corr_top1,6,1.1417817286791885,18012,,,,,,,,-0.0127825949293707
lstm_corr_top1_era5_s0,6,1.1430730762126038,18012,-2.5769873053257943,0.0118524606017231,,,,,,-0.0150747911700972
ridge_own_era5,6,1.1436845120756016,18012,,,,,,3.0708767590362696,0.0029372771821874,-0.0161610194072847
lstm_corr_top1_era5_s1,6,1.144197829710237,18012,-2.356288399204407,0.0209695126385781,,,,,,-0.0170733871498325
lstm_own_era5_s1,6,1.1503057715744829,18012,1.3434328774849975,0.1830273805921581,,,,,,-0.02796102557742
lstmres_own_s0,6,1.1508975780891306,18012,5.499975021715428,4.6489794104647673e-07,,,,,,-0.0290190234402991
lstmres_oof_own_s0,6,1.150951947852982,18012,,,,,,,,-0.0291162498901269
ridge_corr_top1_era5,6,1.1519408920321066,18012,,,,,,3.264303087673274,0.0016306136349117,-0.0308855257800484
lstmres_corr_top1_hist12_s0,6,1.152270105017473,18012,,,20.0,0.0,1.0,,,-0.0314748431654541
lstmres_corr_top1_hist12_s1,6,1.1546287226019585,18012,,,20.0,3.0,0.8571428571428571,,,-0.0357018809676004
lstmres_oof_own_s1,6,1.15475387517295,18012,,,,,,,,-0.0359264168302131
lstmres_own_s1,6,1.1582508142594057,18012,4.335230923004007,4.302889418749672e-05,,,,,,-0.0422101051021637
