challenger,reference,horizon,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
lstm_own_s0,ridge_own,1,-0.6137653665042375,-1.3649304214788531,0.11027123971435451,1.6449742539398622,0.1037574153038595
lstm_own_s0,ridge_own,2,-0.27784052434507434,-0.9704386694517875,0.45414708101849804,0.7909012491716688,0.4312832241745971
lstm_own_s0,ridge_own,3,-2.6467329307586107,-3.7821033525829177,-1.634299188293676,4.162281324113758,7.805726201884114e-05
lstm_corr_top1_s0,lstm_own_s0,1,-0.06026276304156308,-0.8218245566248222,0.5328310488760901,0.18075294378635384,0.8570021315295892
lstm_corr_top1_s0,lstm_own_s0,2,-1.593572799122045,-2.2490280618814604,-1.1278103900963257,6.699279584527717,2.44110147144445e-09
lstm_corr_top1_s0,lstm_own_s0,3,-1.2602039328043046,-2.1662313680448753,-0.5676868037036908,3.17181344476937,0.0021402380692154797
lstm_corr_top1_s0,ridge_corr_top1,1,-0.15587428626766542,-0.9318086985394343,0.5686918416914114,0.410741261002187,0.6823207448040023
lstm_corr_top1_s0,ridge_corr_top1,2,-0.8967722609376505,-1.7108595729537073,-0.11382943514220287,2.268954297131078,0.025898084289089816
lstm_corr_top1_s0,ridge_corr_top1,3,-2.7482334584728596,-3.697573140601766,-1.7854984112814085,4.786524927542148,7.5277132511223995e-06
lstm_own_era5_s0,ridge_own_era5,1,2.399231545890923,1.145058679239346,4.026780885506884,-3.4041542703720786,0.0010243278362492133
lstm_own_era5_s0,ridge_own_era5,2,2.2378326537336735,1.3042725126868004,3.079725296709938,-4.991340439071053,3.314438124457674e-06
lstm_own_era5_s0,ridge_own_era5,3,1.4578878495183356,0.29878333280351804,2.8030258563257062,-2.2675890277733917,0.02601795233440684
lstm_corr_top1_era5_s0,lstm_own_era5_s0,1,-0.9554549051102201,-2.2131943022856433,0.04597127953112401,1.540372365041861,0.12727363473956024
lstm_corr_top1_era5_s0,lstm_own_era5_s0,2,-0.931291592641248,-1.6130357842956626,-0.2913308937605103,2.730804016503,0.007732615291671948
lstm_corr_top1_era5_s0,lstm_own_era5_s0,3,-1.6662460434072157,-2.635321098822472,-0.807338624488935,3.766713495931312,0.00031240279798365635
lstm_corr_top1_era5_s0,ridge_corr_top1_era5,1,1.9054942963242838,-0.2109863995199174,3.9784911271095362,-1.9241872437072114,0.057758154802826374
lstm_corr_top1_era5_s0,ridge_corr_top1_era5,2,2.2356057307169053,1.2699159899445547,3.22845307789356,-4.5743769348451035,1.676139973241102e-05
lstm_corr_top1_era5_s0,ridge_corr_top1_era5,3,1.0434145919197113,0.02603955075906412,2.164296829585988,-1.8139552872290694,0.0733876837987099
