source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,1,228,19152,0.7508018260258598,0.39050699765952573,1.0936918115630665,-4.713534393592172,9.694342138404936e-06
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,2,228,18924,1.7796163494407824,0.9051294195735489,2.5866267516362154,-4.237569567166563,5.88087128466854e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,3,228,18696,1.526277131636844,0.8453161901421067,2.1242713736529173,-4.492845420890402,2.310792399649927e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,4,228,18468,1.792381148404787,1.3701836973518233,2.300716767607652,-6.38408073539439,1.0525075272483073e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,5,228,18240,2.3963046012006384,1.925045862652511,2.9872352548747294,-6.364492415747243,1.1913692614184188e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,6,228,18012,2.6860496901144115,2.2741074136528967,3.182338472504727,-7.36907591061272,1.5517629531005758e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,1,196,16464,0.8389241437629424,0.43611466290115086,1.2219231370388728,-4.657647969029526,1.2027239677555628e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,2,196,16268,1.9692667120304708,0.9691736857430489,2.8781800793757997,-4.072413607529887,0.00010673830867177567
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,3,196,16072,1.66965163887135,0.907372650478622,2.346985783712892,-4.38557711964297,3.448931735693486e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,4,196,15876,1.9435599245544943,1.4966726847670297,2.4537780737654966,-6.794596343736098,1.7556199768624705e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,5,196,15680,2.55881528138594,2.091858088427636,3.1404893192060572,-6.706364538286054,2.707035552718393e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,6,196,15484,2.8680654734477895,2.451258537732532,3.3574796606319235,-7.843262444509055,1.8920859908530616e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,1,32,2688,0.3405245817457825,-0.01864364567816967,0.7091709861684509,-1.8382376404053047,0.06960470421237164
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,2,32,2656,0.6677169305848718,0.18831907914138385,1.132878431100669,-2.752578371416906,0.007277803175128558
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,3,32,2624,0.5869384785917808,0.1068602745780542,1.0658449643134613,-2.166036096507086,0.0332486477684726
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,4,32,2592,0.7305680883614385,0.17284890088442834,1.4905137272132014,-1.9279756830800892,0.05740654849389947
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,5,32,2560,1.1682104400126736,0.4733152125040288,1.983341162644511,-2.614603098300542,0.010694899029398248
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,6,32,2528,1.243356679258123,0.5558895472349266,2.0089081029397446,-2.6777489579302527,0.009033678402497634
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,1,72,6048,0.3949572520271283,0.005890779008408957,0.6824378843551586,-2.366987854585992,0.020261117952299054
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,2,72,5976,1.082814433521817,0.18357584808258723,1.8299297053702792,-2.6471539949008096,0.009731211654840855
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,3,72,5904,1.0847431281659992,0.3339821725035935,1.7079224616909638,-2.9323138323533513,0.004372773470918642
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,4,72,5832,1.4678867010370023,0.9351414429938241,2.0444879607639854,-4.3682150370758865,3.721453754816246e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,5,72,5760,2.027366200140923,1.4457590034346188,2.7485464897697987,-4.60919353390371,1.530810710077002e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,6,72,5688,2.2749145237321744,1.737389086446101,2.86770911738692,-5.778371222697779,1.4756505151570506e-07
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,1,78,6552,1.231492875018625,0.7414691029002496,1.7736130944120705,-5.251800827609691,1.1411077221072969e-06
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,2,78,6474,2.2833262585576164,0.9788438029523325,3.4309602797590815,-3.7750176042822408,0.0003015600004957232
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,3,78,6396,1.8664320422104197,0.9148757000222959,2.6620581830368275,-4.003566739770062,0.00013747728550064661
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,4,78,6318,2.2053183954949596,1.7439910174832158,2.780673543167669,-6.595981504177347,4.190711254840782e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,5,78,6240,2.8522030037498536,2.3342264470450997,3.4835595191214446,-6.760442369058,2.13766340564335e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,6,78,6162,3.164883569052801,2.7025292062022803,3.7586332183470765,-7.30420423077676,2.0666629588874116e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,1,78,6552,0.6640549831266496,0.25139728182413446,1.0613119315460497,-3.5516933637794095,0.000633969735774289
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,2,78,6474,1.9592162887874243,1.2408584746947857,2.7985435858960495,-4.97831552366435,3.490157255041937e-06
