challenger,reference,horizon,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
lstm_own_era5_s0,ridge_own_era5,1,2.399231545890923,1.145058679239346,4.026780885506884,-3.4041542703720786,0.0010243278362492133
lstm_own_era5_s0,ridge_own_era5,2,2.2378326537336735,1.3042725126868004,3.079725296709938,-4.991340439071053,3.314438124457674e-06
lstm_own_era5_s0,ridge_own_era5,3,1.4578878495183356,0.29878333280351804,2.8030258563257062,-2.2675890277733917,0.02601795233440684
lstmres_corr_top1_s0,lstm_own_era5_s0,1,0.624736259808989,0.29792812048977935,0.9506931117008713,-4.114417961391236,9.09986346509038e-05
lstmres_corr_top1_s0,lstm_own_era5_s0,2,1.7454757924493358,0.7208383607771577,2.7556082974501543,-3.4286602711468577,0.0009514290900628616
lstmres_corr_top1_s0,lstm_own_era5_s0,3,1.085819172171898,0.3645035729372459,1.7738507454571488,-2.83307444291008,0.005816200876236771
lstmres_corr_top1_s1,lstm_own_era5_s1,1,0.8746492840574382,0.4118245281182012,1.293252627887859,-4.299265051151863,4.641402693962776e-05
lstmres_corr_top1_s1,lstm_own_era5_s1,2,1.614106029671969,0.8383620126062552,2.3168591604992526,-4.4676809189507765,2.508409647872821e-05
lstmres_corr_top1_s1,lstm_own_era5_s1,3,1.8359720206226449,1.1608382361564435,2.427637752470024,-5.669418453563742,2.1336915532404168e-07
lstmres_corr_top1_s0,ridge_corr_top1_era5,1,3.4409048532452746,2.0136798756639744,5.176410194922554,-4.614552560846966,1.4190242111121964e-05
lstmres_corr_top1_s0,ridge_corr_top1_era5,2,4.828384817101172,3.4878051491273445,6.000594062391194,-7.855959273860026,1.3467455229612052e-11
lstmres_corr_top1_s0,ridge_corr_top1_era5,3,3.722130361928422,2.4432182918316663,5.268272502224727,-5.194483446000834,1.4989250667179297e-06
lstm_corr_top1_era5_s0,lstm_own_era5_s0,1,-0.9554549051102201,-2.2131943022856433,0.04597127953112401,1.540372365041861,0.12727363473956024
lstm_corr_top1_era5_s0,lstm_own_era5_s0,2,-0.931291592641248,-1.6130357842956626,-0.2913308937605103,2.730804016503,0.007732615291671948
lstm_corr_top1_era5_s0,lstm_own_era5_s0,3,-1.6662460434072157,-2.635321098822472,-0.807338624488935,3.766713495931312,0.00031240279798365635
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,1,0.6028089838724493,-0.02289293765140587,1.2936555966245227,-1.821482010989682,0.0721363708357594
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,2,0.7576112072437136,0.1326813659602752,1.346103774248339,-2.5013839943068925,0.014360575243307737
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,3,0.09376134172401906,-0.4375512617063798,0.5997552317072886,-0.34830508334000715,0.7285147084791725
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,1,2.4968167893913207,0.7292312825271948,4.255883998048363,-2.9430310493547585,0.004213119174153991
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,2,2.976279738394927,1.948412116215497,3.9461835068485858,-5.6641498096917005,2.1242383935899133e-07
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,3,1.1361976141226027,0.12169226369516423,2.3482727412233904,-1.9620287995443824,0.053193596675145734
lstmres_own_s0,lstm_own_era5_s0,1,-1.725292967997527,-2.6899905712522343,-0.9502374403107613,4.089196088864231,9.962447128778665e-05
lstmres_own_s0,lstm_own_era5_s0,2,-0.598498140792314,-1.0757366508908957,-0.21442893554841125,2.9063870618622496,0.004700319916060984
lstmres_own_s0,lstm_own_era5_s0,3,-2.1450557470126697,-2.697689145749744,-1.7145406110974402,7.696970599340725,2.961426948769915e-11
lstmres_own_s1,lstm_own_era5_s1,1,-1.2710264232845825,-1.9799319002951639,-0.7456491687302,3.989164297895786,0.00014222731752558683
lstmres_own_s1,lstm_own_era5_s1,2,-0.21700120621177543,-0.5830788884478183,0.08478952574398094,1.3458850380692713,0.1820489653870207
lstmres_own_s1,lstm_own_era5_s1,3,-0.7745485144565301,-1.3680622274014753,-0.3319648683447635,2.5947086550298533,0.011234868311514065
lstmres_corr_top1_s0,lstmres_own_s0,1,2.3101719928649733,1.5879175787553566,3.1729040283547643,-5.613019483620725,2.565145768041806e-07
lstmres_corr_top1_s0,lstmres_own_s0,2,2.3300287544662512,1.2130866767085409,3.4260563669398882,-4.1495650630402805,8.092949317771761e-05
lstmres_corr_top1_s0,lstmres_own_s0,3,3.163026242979994,2.146505975795782,4.268275018102156,-5.321411612767294,8.964342253167308e-07
lstmres_corr_top1_s1,lstmres_own_s1,1,2.118745887272533,1.4516191470011452,2.9159829192493913,-5.617298435155349,2.519579425593767e-07
lstmres_corr_top1_s1,lstmres_own_s1,2,1.8271423150209243,1.1155599183127944,2.5250733286171725,-5.2038649616358,1.4143820174059914e-06
lstmres_corr_top1_s1,lstmres_own_s1,3,2.590456195102364,1.7733794740195965,3.4746534540023912,-5.369227090931196,7.375991252935578e-07
