horizon,real_rmse,own_ridge_rmse,surr_mean,surr_min,beats_n_of,p_rank,skill_vs_own,surr_skill_vs_own_mean
1,0.6668492627788989,0.665129741500829,0.6651385567086674,0.6647626617447847,0/99,1.0,-0.005177167279919459,-2.6559563714974884e-05
2,0.8518942358999668,0.8477908265719528,0.847832353197292,0.8470069180023094,0/99,1.0,-0.009703666743851258,-9.813159400412104e-05
3,0.9368030140609306,0.9314155771801275,0.9315169028549456,0.9303828158553703,0/99,1.0,-0.011601733649816204,-0.0002178462842578055
4,1.002628253836993,0.9969605266268762,0.9970614411349237,0.9956414053265844,0/99,1.0,-0.011402332573284601,-0.00020280587093554484
5,1.0739925828287988,1.0678062360157128,1.06790309483056,1.066044286495216,0/99,1.0,-0.01162058608937433,-0.00018191159774270195
6,1.1417817286791885,1.1345534854424566,1.13464766052979,1.132094961319947,0/99,1.0,-0.012782594929370727,-0.00016670225760400049
