subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
all_matched,li_lstm_nonseas,ridge_own_perbasin,5,13393,59,-18.20450712109515,-27.110769827606013,-7.606918167335634,3.186464219848364,0.0023200463159168392
all_matched,li_lstm_nonseas,ridge_own_perbasin,6,13393,59,-9.504332393088976,-13.977383143981015,-4.097332890645966,2.975779679995586,0.004256180328189195
all_matched,li_lstm_nonseas,damped_persistence_rho,1,13393,59,-51.16278976284627,-77.31296779226878,-25.74025437897281,5.044071679353391,4.788681098169374e-06
all_matched,li_lstm_nonseas,damped_persistence_rho,2,13393,59,-27.621133927143894,-42.41947654251521,-13.193106667955663,4.852944819961627,9.542946269171094e-06
all_matched,li_lstm_nonseas,damped_persistence_rho,3,13393,59,-31.697704700165843,-42.87796518635428,-19.584467099847352,5.1779651819354715,2.9389159180988935e-06
all_matched,li_lstm_nonseas,damped_persistence_rho,4,13393,59,-24.0666891581091,-33.85547878797024,-12.721733085422356,4.1955302697819095,9.4494159481165e-05
all_matched,li_lstm_nonseas,damped_persistence_rho,5,13393,59,-16.535485627743107,-24.784458544795637,-6.877629375934904,3.171618713084803,0.002423272769463491
all_matched,li_lstm_nonseas,damped_persistence_rho,6,13393,59,-8.851563122196422,-13.075100425414881,-3.862897375364115,2.959800450249956,0.004452236849817437
joint_full_cells,li_lstm_full,kalman_corr_top1,1,3953,59,-0.743110422897379,-0.9991042992165313,-0.556251334462093,9.48189168730548,2.146342017677076e-13
joint_full_cells,li_lstm_full,kalman_corr_top1,2,3953,59,-0.0651423867636769,-0.2026384548434581,0.052827859032076735,1.0930172677042012,0.2789053159959109
joint_full_cells,li_lstm_full,kalman_corr_top1,3,3953,59,0.0787192551792465,-0.01268890709322042,0.1675194810676806,-1.4522162000549064,0.1518299798821603
joint_full_cells,li_lstm_full,kalman_corr_top1,4,3953,59,0.16541034951825606,0.08986915684812367,0.23177772990943962,-3.4977575369797864,0.0009076401209287455
joint_full_cells,li_lstm_full,kalman_corr_top1,5,3953,59,0.2551025431370446,0.19759937323620558,0.30621052828085893,-5.768080672045081,3.2767714790503814e-07
joint_full_cells,li_lstm_full,kalman_corr_top1,6,3953,59,0.3250986266614714,0.28081897010140083,0.36457790400969675,-7.138615277249078,1.7146183995442333e-09
joint_full_cells,li_lstm_full,kalman_ar1,1,3953,59,-0.7767771144156004,-1.0416579110166198,-0.5833181577049014,9.777964394966139,7.085768328439455e-14
joint_full_cells,li_lstm_full,kalman_ar1,2,3953,59,-0.10914765296600937,-0.2617696760599065,0.017173835891603154,1.7404639700047118,0.08708091404609677
joint_full_cells,li_lstm_full,kalman_ar1,3,3953,59,0.05799214348286652,-0.038162271995877066,0.15367333534982497,-1.024576095638487,0.30981762918796196
joint_full_cells,li_lstm_full,kalman_ar1,4,3953,59,0.16043185770785684,0.0825464937247277,0.22852010747891185,-3.298530782746183,0.0016641222494607776
joint_full_cells,li_lstm_full,kalman_ar1,5,3953,59,0.24312221544180446,0.18299558835713917,0.29538034546811415,-5.41051151101029,1.2474236593687199e-06
joint_full_cells,li_lstm_full,kalman_ar1,6,3953,59,0.29515082538061277,0.2447576243133304,0.335296003596864,-6.583601155739236,1.4617359726043987e-08
joint_full_cells,li_lstm_full,ridge_own_perbasin,1,3953,59,-0.7719653744854069,-1.0075925149900897,-0.5828946698567444,10.432786806392048,6.306770086297169e-15
joint_full_cells,li_lstm_full,ridge_own_perbasin,2,3953,59,-0.06716373454174351,-0.19802817135957299,0.05106133417723622,1.1277459133382097,0.26407094589994207
joint_full_cells,li_lstm_full,ridge_own_perbasin,3,3953,59,0.10472996412259172,0.026642358025191718,0.18637196536049222,-2.062471862045898,0.04365111811203629
joint_full_cells,li_lstm_full,ridge_own_perbasin,4,3953,59,0.2071554822528544,0.1462729834522511,0.26568913156603674,-4.632766194954768,2.0869500226779862e-05
