fold,skill_pct,dm_p,test_months
f1,10.981433778016946,6.560680684747588e-05,17
f2,9.786891494111781,5.365456863841558e-05,17
f3,-2.6078535037668438,0.628093981002927,17
f4,5.028763699575844,0.10579745594213165,17
f5,11.10809103932624,0.00036756601927534054,16
