arm,variable,skill_vs_own_pct,dm_p_vs_own,unique_contribution_pct,dm_p_full_vs_wo,solo_skill_pct,solo_dm_p
full,,6.7554260501409,0.0001060759785499544,,,,
lovo,precip_cm,5.086690007848949,5.0899557126829956e-08,1.6687360422919513,0.19831969058147902,3.3924885873805266,0.09440221831556715
lovo,evap_cm,3.6661452617678947,0.14866160861979089,3.0892807883730056,0.003434594423670802,-0.4537968052628072,0.20422593206664916
lovo,runoff_cm,6.3922893290879745,0.00025190868791832193,0.3631367210529257,0.005205366409132994,0.011241905968406574,0.9764724925443833
lovo,surf_runoff_cm,6.781970670827708,9.32272971370951e-05,-0.026544620686808074,0.31368555075682303,1.0759940859875972,0.04405157823188877
lovo,subsurf_runoff_cm,6.7314948939193435,0.00012336159889122014,0.023931156221556726,0.735867924234411,-0.21797104392358158,0.4584906853732273
lovo,swvl1,6.938656717953839,3.968746346105846e-05,-0.18323066781293917,0.07575496474499159,2.332997039486584,0.0002553737953289609
lovo,swvl2,6.857436001228489,7.335605078552235e-05,-0.10200995108758892,0.13181177815726178,1.021809543715857,0.12723390280904842
lovo,swvl3,6.444639771299132,0.00025340234854771707,0.31078627884176857,0.004864195929441966,-0.003984246115695811,0.9902984239863715
lovo,swvl4,6.561057635367162,0.00022249704774772718,0.1943684147737379,0.27237743378852713,0.07295358952686959,0.6702048444507038
lovo,t2m_c,6.869871221369317,7.018007855941797e-05,-0.11444517122841713,0.020207785423962902,0.30310098803914,0.24064996339266786
lovo,swe_cm,6.74615137844905,0.00012389047407373443,0.009274671691850145,0.9367077768014255,1.4904792813962842,1.2844428149296044e-05
