feature,importance,importance_std,target,cv_r2_mean
nbr_stable,0.2827208236059754,0.031140986847026823,dm_p3b,-0.0306738260620115
nbr_dist_km,0.15163772642220125,0.0172252304244636,dm_p3b,-0.0306738260620115
log10_area,0.11124865626459135,0.008812058612736736,dm_p3b,-0.0306738260620115
abs_lat,0.10583118860338747,0.011822793740185319,dm_p3b,-0.0306738260620115
rho,0.09908936072984009,0.008308029555980982,dm_p3b,-0.0306738260620115
nbr_corr,0.09802614877657748,0.012763309109399412,dm_p3b,-0.0306738260620115
era5_coverage,0.085889128539648,0.011204060400670632,dm_p3b,-0.0306738260620115
coupling,0.05484160091512066,0.005833267170213288,dm_p3b,-0.0306738260620115
log_qr,0.04422348585516814,0.002551136115169778,dm_p3b,-0.0306738260620115
centroid_lat,0.0350441265542145,0.0023363255262552427,dm_p3b,-0.0306738260620115
cont_asia,0.02905313971767478,0.005399255805788028,dm_p3b,-0.0306738260620115
snr_mid,0.0157491897327433,0.002010650448629423,dm_p3b,-0.0306738260620115
snr_sub_noise,0.010500372947111614,0.0028134235536298098,dm_p3b,-0.0306738260620115
cont_north_america,0.007634873568192313,0.0017287691987730436,dm_p3b,-0.0306738260620115
cont_europe,0.006752678725704448,0.0019077718424416114,dm_p3b,-0.0306738260620115
snr_low,0.005138493108357889,0.0008327662315361093,dm_p3b,-0.0306738260620115
cont_africa,0.0038388680632800765,0.0008538564525047845,dm_p3b,-0.0306738260620115
cont_south_america,0.00047511139681106205,0.0001329841371165665,dm_p3b,-0.0306738260620115
cont_australia,0.00018758191218415377,9.344112171422468e-05,dm_p3b,-0.0306738260620115
snr_high,6.096413573333792e-05,8.618708266005246e-05,dm_p3b,-0.0306738260620115
glaciated,0.0,0.0,dm_p3b,-0.0306738260620115
snr_glaciated,0.0,0.0,dm_p3b,-0.0306738260620115
nbr_stable,0.5897999184298677,0.08269710088468708,skill_p3b_clipped,0.08776462876606143
nbr_dist_km,0.11118401010813153,0.014894898857585152,skill_p3b_clipped,0.08776462876606143
rho,0.0978242052615495,0.01733831224029427,skill_p3b_clipped,0.08776462876606143
coupling,0.06334375177291429,0.012695006412335274,skill_p3b_clipped,0.08776462876606143
log10_area,0.056590323911905396,0.008136374540587915,skill_p3b_clipped,0.08776462876606143
abs_lat,0.054754808494149855,0.005877783020355643,skill_p3b_clipped,0.08776462876606143
nbr_corr,0.05367906695928759,0.00986182625474558,skill_p3b_clipped,0.08776462876606143
log_qr,0.04972381647250748,0.009663296524513226,skill_p3b_clipped,0.08776462876606143
era5_coverage,0.04274987847829023,0.007032886218052695,skill_p3b_clipped,0.08776462876606143
centroid_lat,0.03703353439845538,0.005895860522607985,skill_p3b_clipped,0.08776462876606143
snr_sub_noise,0.024640062764804044,0.009246432166814708,skill_p3b_clipped,0.08776462876606143
snr_mid,0.017062398646619265,0.004613379444465395,skill_p3b_clipped,0.08776462876606143
cont_asia,0.00874495110587899,0.002624924918979754,skill_p3b_clipped,0.08776462876606143
cont_north_america,0.005408746632318495,0.0019405475876820208,skill_p3b_clipped,0.08776462876606143
snr_low,0.0041370702855148215,0.0009699356371933083,skill_p3b_clipped,0.08776462876606143
cont_africa,0.0020125905610960835,0.00043142174922146994,skill_p3b_clipped,0.08776462876606143
cont_europe,0.0005850818513480182,0.000204719353018966,skill_p3b_clipped,0.08776462876606143
cont_south_america,0.0005563996885079969,0.0002077373862687907,skill_p3b_clipped,0.08776462876606143
snr_high,0.00014066090233360584,0.00014298045782389275,skill_p3b_clipped,0.08776462876606143
cont_australia,4.7441983052071145e-05,2.3671825952191086e-05,skill_p3b_clipped,0.08776462876606143
glaciated,0.0,0.0,skill_p3b_clipped,0.08776462876606143
snr_glaciated,0.0,0.0,skill_p3b_clipped,0.08776462876606143
