name,dm_stat,p,a_better,bh_threshold,significant,comparison
R_Parana_River,4.314083765165634,4.394416440025512e-05,False,0.0004385964912280702,True,corr_top1_vs_own_ridge
C_West_Black_Sea_Coast,-3.7602162132514003,0.0003150204033944598,True,0.0008771929824561404,True,corr_top1_vs_own_ridge
R_Niger_River,-3.5634807804681174,0.0006097951447125721,True,0.0013157894736842105,True,corr_top1_vs_own_ridge
E_Lower_Lake_Chad,3.2639302953636897,0.0015968629789020247,False,0.0017543859649122807,True,corr_top1_vs_own_ridge
E_East_Gobi_Desert,3.003430483560242,0.0035275912387639505,False,0.0021929824561403508,False,corr_top1_vs_own_ridge
E_Saharan_and_Algerian_Atlas,-2.983538991951631,0.003741034494755502,True,0.002631578947368421,False,corr_top1_vs_own_ridge
C_Ellef_Ringnes_Bathurst_Devon_Islands,-2.9699917404750056,0.0038931767656798246,True,0.0030701754385964912,False,corr_top1_vs_own_ridge
C_Deccan_Plateau_East_Indian_Subcontinent_Coast,2.882531628090051,0.005021344042168411,False,0.0035087719298245615,False,corr_top1_vs_own_ridge
C_Vietnam_Coast,-2.8135019407071034,0.006116466167226369,True,0.003947368421052632,False,corr_top1_vs_own_ridge
C_Severnaya_Zemlya,2.7914108533959077,0.0065107228665177595,False,0.0043859649122807015,False,corr_top1_vs_own_ridge
C_Chao_Phraya_River_Gulf_of_Thailand_Coast,-2.6559865658401125,0.009480055862836572,True,0.004824561403508772,False,corr_top1_vs_own_ridge
R_Yenisey_River,2.6189056578711005,0.010484447384185771,False,0.005263157894736842,False,corr_top1_vs_own_ridge
C_La_Plata_Delta,2.561206048896859,0.01223995421894104,False,0.005701754385964913,False,corr_top1_vs_own_ridge
C_Irrawaddy_Sittang_Salween_Basin,2.545613632038213,0.012757828019988792,False,0.0061403508771929825,False,corr_top1_vs_own_ridge
R_Yangtze_River,2.511339788610656,0.013966171309858357,False,0.006578947368421052,False,corr_top1_vs_own_ridge
C_North_St_Lawrence_Seaway_Coast,2.481278895735648,0.015109613782503209,False,0.007017543859649123,False,corr_top1_vs_own_ridge
R_Mekong_River,2.44699148301264,0.016515730216494634,False,0.007456140350877193,False,corr_top1_vs_own_ridge
C_North_Caspian_Sea_Coast,-2.402133958030069,0.018531521119287454,True,0.007894736842105263,False,corr_top1_vs_own_ridge
C_Novaya_Zemlya,-2.365030583718046,0.020361523703460668,True,0.008333333333333333,False,corr_top1_vs_own_ridge
C_Ireland,-2.364090381761004,0.02040991191732808,True,0.008771929824561403,False,corr_top1_vs_own_ridge
C_West_Italy_Coast,2.3476790258217615,0.021271137982398207,False,0.009210526315789473,False,corr_top1_vs_own_ridge
C_Indian_Ocean_Africa_Coast,-2.3407527325685433,0.02164417999964583,True,0.009649122807017544,False,corr_top1_vs_own_ridge
C_Norway_Coast,2.3250663146753743,0.022510539606787307,False,0.010087719298245614,False,corr_top1_vs_own_ridge
R_Tigris_Euphrates_River,2.2600385103878904,0.026437847625947367,False,0.010526315789473684,False,corr_top1_vs_own_ridge
C_Malaysian_Peninsula_Coast,2.224581341038842,0.02882365485401439,False,0.010964912280701754,False,corr_top1_vs_own_ridge
C_Northeast_South_America_Coast,2.1965782430749194,0.0308392545041942,False,0.011403508771929825,False,corr_top1_vs_own_ridge
R_Sao_Francisco_River,-2.1796193924781155,0.03211892038369486,True,0.011842105263157895,False,corr_top1_vs_own_ridge
C_Hub_Porali_Basin,2.120330665745274,0.0369635999747399,False,0.012280701754385965,False,corr_top1_vs_own_ridge
C_North_Chile_South_Pacific_Coast,2.1137773790195262,0.03753613911939858,False,0.012719298245614036,False,corr_top1_vs_own_ridge
E_Northern_Kordofan,-2.0907551454340925,0.03960883655472517,True,0.013157894736842105,False,corr_top1_vs_own_ridge
E_Altai_Mountains,2.0858387526243147,0.040064059419294855,False,0.013596491228070176,False,corr_top1_vs_own_ridge
R_Indus_River,2.070761989098617,0.04148834071207361,False,0.014035087719298246,False,corr_top1_vs_own_ridge
C_Thar_Desert_Sabarmati_River_Gulf_of_Cambay_Luni_Delta,2.047459750810292,0.043775492771570515,False,0.014473684210526317,False,corr_top1_vs_own_ridge
C_South_Hudson_Strait_Ungava_Bay_Coast,-2.045523716454776,0.04397030499533685,True,0.014912280701754385,False,corr_top1_vs_own_ridge
E_Amu_Darya,2.0433155854054994,0.044193405998090136,False,0.015350877192982457,False,corr_top1_vs_own_ridge
E_Australia_Northwest_Plateau,2.0261542788161773,0.045960705328943245,False,0.015789473684210527,False,corr_top1_vs_own_ridge
C_US_East_Gulf_of_Mexico_North_Atlantic_Coast,-1.9985442100335176,0.048931174976859566,True,0.0162280701754386,False,corr_top1_vs_own_ridge
C_North_Australia_Coast,1.9913214721378385,0.04973479805198499,False,0.016666666666666666,False,corr_top1_vs_own_ridge
E_Upper_Lake_Chad,-1.9870584043552075,0.05021438778387243,True,0.017105263157894738,False,corr_top1_vs_own_ridge
C_South_Alaska_Coast_Frazer_River,1.9715820828238768,0.051988758511145546,False,0.017543859649122806,False,corr_top1_vs_own_ridge
E_Central_Mongolia,1.9561306730288357,0.05381326496651605,False,0.017982456140350878,False,corr_top1_vs_own_ridge
