component,challenger,reference,horizon,rmse_a,rmse_b,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
noise_filtering_term,kalman_ar1,kalman_r0,1,0.6641524640095269,0.6649003252170933,0.22482787045819963,-1.6521500931029005,2.181892511549511,-0.21822173610394632,0.8277919942090711
noise_filtering_term,kalman_ar1,kalman_r0,2,0.8424462498738765,0.8718226878741628,6.625547278468313,5.05925067910718,8.358612142593595,-7.066839360538676,4.758351342196e-10
noise_filtering_term,kalman_ar1,kalman_r0,3,0.9334253482555611,0.9798136584192374,9.244656962002962,7.671710044121087,11.097580799187833,-8.166101741670557,3.5347662589635866e-12
noise_filtering_term,kalman_ar1,kalman_r0,4,1.005726167621767,1.0650889840042808,10.836375492084183,9.550595556813377,12.500490120059618,-9.05559414076929,6.830480828541686e-14
noise_filtering_term,kalman_ar1,kalman_r0,5,1.0741360708988539,1.1427587830630705,11.64940752144572,10.197649046815698,13.4760982698425,-9.51755690432805,9.526606291816411e-15
noise_filtering_term,kalman_ar1,kalman_r0,6,1.1315158403692906,1.2079155743201366,12.249800106209651,10.717291958710124,14.506738218011497,-9.433919309250571,1.557376043693167e-14
rho_estimation_term,kalman_r0,damped_persistence_reg,1,0.6649003252170933,0.6691324030370198,1.260944601857017,0.9433803719807482,1.6570533724681886,-7.906656641908598,9.978210122335624e-12
rho_estimation_term,kalman_r0,damped_persistence_reg,2,0.8718226878741628,0.8761395192177067,0.9829933494824861,0.47016629391150977,1.53693034829515,-4.071057397937557,0.00010725610581994656
rho_estimation_term,kalman_r0,damped_persistence_reg,3,0.9798136584192374,0.9558786300905203,-5.070663149055332,-7.018123932656242,-3.4439071002504913,5.124688468205225,1.9839956951170097e-06
rho_estimation_term,kalman_r0,damped_persistence_reg,4,1.0650889840042808,1.013587047645102,-10.42049289743725,-12.927734745021699,-8.451939484910167,7.266437696081819,2.1734787857864816e-10
rho_estimation_term,kalman_r0,damped_persistence_reg,5,1.1427587830630705,1.087024564386729,-10.517338898712048,-12.990971817432245,-8.609772177285842,7.5266696902367185,7.240454447664528e-11
rho_estimation_term,kalman_r0,damped_persistence_reg,6,1.2079155743201366,1.1593235869686604,-8.558496049400599,-11.290188303913506,-6.763174472700493,6.520305716191911,6.34552538359736e-09
full_margin,kalman_ar1,damped_persistence_reg,1,0.6641524640095269,0.6691324030370198,1.4829375174192028,-0.4422973134801717,3.5612597990999375,-1.410955619086421,0.1619949940176117
full_margin,kalman_ar1,damped_persistence_reg,2,0.8424462498738765,0.8761395192177067,7.5434119388366305,6.04444249434582,9.216524361814708,-8.717711010360539,2.623114165496719e-13
full_margin,kalman_ar1,damped_persistence_reg,3,0.9334253482555611,0.9558786300905203,4.642759226776505,3.628931685875699,5.829279632828344,-6.670722158920413,2.8921357642978034e-09
full_margin,kalman_ar1,damped_persistence_reg,4,1.005726167621767,1.013587047645102,1.5450863331392006,0.3947442337591589,2.746702380776387,-2.4327643328380604,0.01721525400462114
full_margin,kalman_ar1,damped_persistence_reg,5,1.0741360708988539,1.087024564386729,2.3572762914561785,1.2947222533601042,3.426106187165998,-4.103399264636057,9.83111573853587e-05
full_margin,kalman_ar1,damped_persistence_reg,6,1.1315158403692906,1.1593235869686604,4.73970271495846,3.6989117995140166,6.057206421663461,-7.4939784558255855,8.928548471268667e-11
