area,area_cut,contamination,n_basins,skill_pct,dm_stat,p,n_rows
resolved,200000,cont_high,41,-0.6243770965245643,1.6018261573795456,0.11299337453471715,3444
resolved,200000,cont_lowmid,123,-0.6924889327527772,2.6170400088070536,0.010537439956790094,10332
sub_resolution,200000,cont_high,37,-0.5887488365418303,1.6337138281783394,0.1061067643080103,3108
sub_resolution,200000,cont_lowmid,27,0.2511021737066854,-0.7140042417778286,0.47722767622266365,2268
