name,coupling,fold
C_Seward_Peninsula_Alaskan_North_Slope,0.8510700904975408,f1
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,0.6333873288422025,f1
C_Sicily,0.7786771068759988,f1
C_Somerset_Island,0.3653290523972803,f1
C_South_Africa_South_Coast,0.8645468879020257,f1
C_South_Africa_West_Coast,0.7909019951917657,f1
C_South_Alaska_Coast_Frazer_River,0.15522652388053448,f1
C_South_Amapa_Coast,0.9412185048923218,f1
C_South_Australia_Coast,0.9412185048923218,f1
C_South_Baffin_Island_Coast,0.8441166289984016,f1
C_South_Baltic_Coast,0.29659298467866635,f1
C_South_Black_Sea_Coast,0.6417485433211378,f1
C_South_Chile_South_Pacific_Coast,0.2573112730555504,f1
C_South_East_Brazil_Coast,0.8374499498114619,f1
C_South_East_Russia_Coast,0.7720104286596842,f1
C_South_Gulf_of_Aden_Coast,0.8684859392653871,f1
C_South_Gulf_of_Oman_West_Arabian_Sea_Coast,0.9345518243640115,f1
C_South_Hudson_Strait_Ungava_Bay_Coast,0.7526770146314806,f1
C_South_Mediterranean_Coast,0.9028894709632398,f1
C_South_Zambezia_Coast,0.20973636258955697,f1
C_Southhampton_Coats_Islands,0.903049174869535,f1
C_Southwest_Hudson_Bay_Coast,0.5252322176379426,f1
C_Southwest_Mediterranean_Coast,0.8845604778775972,f1
C_Sri_Lanka,0.06454467198861899,f1
C_Sulawesi,0.7694550221416313,f1
C_Sumatra,0.0026294907350286334,f1
C_Svalbard,0.1993010190222271,f1
C_Sweden_Coast,0.9412185048923218,f1
C_Taiwan,0.4443476675115191,f1
C_Tasmania,0.6568655193216674,f1
C_Texas_Gulf_Coast,0.587709550549781,f1
C_Thar_Desert_Sabarmati_River_Gulf_of_Cambay_Luni_Delta,0.9028894709632398,f1
C_US_East_Gulf_of_Mexico_North_Atlantic_Coast,0.752660978569715,f1
C_US_North_Atlantic_Coast,0.3384730099981471,f1
C_Uda_Basin,0.7853437850923134,f1
C_Uruguay_South_Brazil_Coast,0.5768702150014853,f1
C_Victoria_Island,0.8987088162938864,f1
C_Vietnam_Coast,0.8961572985647646,f1
C_West_Africa_Coast,0.891227157664416,f1
C_West_Australia_Coast,0.5465223951766248,f1
C_West_Barents_Sea_Coast,0.7182034071295599,f1
C_West_Black_Sea_Coast,0.9412185048923218,f1
C_West_Caspian_Sea_Coast,0.7501191693325828,f1
C_West_Continental_Europe,0.8165125906352005,f1
C_West_Italy_Coast,0.9412185048923218,f1
C_West_Mississippi_Delta,0.9412185048923218,f1
C_West_Nile_Delta,0.9412185048923218,f1
C_West_Red_Sea_Coast,0.527733625975246,f1
C_Yamal_Peninsula,0.9412185048923218,f1
C_Yellow_Sea_Coast,0.4317556347098258,f1
C_Yenisey_Gulf_Coast,0.9412185048923218,f1
C_Ziya_He_Interior_Coast,0.7853437850923134,f1
E_Altai_Mountains,0.9024652271022292,f1
E_Amu_Darya,0.7786771068759988,f1
E_Australia_Northwest_Plateau,0.6001016009988464,f1
E_Badain_Jaran_Desert,0.8133878372925141,f1
E_Central_Iran,0.9412185048923218,f1
E_Central_Mongolia,0.902465227102228,f1
E_Dayan_Khyargas_Uvs_Nuur_Basins,0.6362128122932409,f1
E_East_Gobi_Desert,0.7026195320123169,f1
E_Egyptian_Western_Desert,0.9028894709632398,f1
E_Farahrud_Helmand_Hamun_i_Mashkel,0.6590535948413478,f1
E_Great_Basin_Great_Salt_Lake,0.8157174790226629,f1
E_Great_Victoria_Desert,0.9412185048923218,f1
E_Jordan_Northwest_Saudi_Arabia,0.7370293420129832,f1
E_Junggar_Pendi,0.891227157664416,f1
E_La_Puna_Altiplano,0.6954854533334482,f1
E_Lake_Eyre_Basin,0.7786771068759988,f1
E_Lake_Rukwa_Basin,0.5564816399000795,f1
E_Lakes_Balkash_Alakol,0.891227157664416,f1
E_Libyian_Desert,0.8778937980907784,f1
E_Lower_Lake_Chad,0.8507833081853412,f1
E_North_Central_Arabia,0.8583542365120579,f1
E_North_Plateau_of_Tibet,0.9345518243640115,f1
E_Northern_Kordofan,0.8990610691211662,f1
E_Plateau_of_Tibet,0.8545891955355703,f1
E_Qinghai_Lake,0.9345518243640115,f1
E_Rift_Valley,0.8129529064060527,f1
E_Rub_al_Khali_Desert,0.9345518243640115,f1
E_Sahara,0.8778937980907784,f1
E_Saharan_and_Algerian_Atlas,0.9162228312783689,f1
