model,horizon,name,n_months,rmse_cm,cc_anom,cc_full,nse_anom,nse_full
damped_persistence,1,C_Aleutians_South_Alaska_Coast,84,2.8185769213717324,0.9155848206134799,0.9845295489231973,0.8375651066285982,0.9681860993138567
damped_persistence,1,C_Amazon_River_Delta,84,5.1932404530765295,0.8744835219057849,0.971212320988666,0.7513602136633336,0.9418465294400563
damped_persistence,1,C_Angola_Coast,84,3.072075355796678,0.8506179567627385,0.9234863980130822,0.7217005973157111,0.8517255103929572
damped_persistence,1,C_Balkan_Peninsula_and_Adriatic_Coast,84,3.2103383425644827,0.6458893883942718,0.9488514728331134,0.33189821431004707,0.8901231199359247
damped_persistence,1,C_Banks_Island,84,2.3096342999845465,0.8684720838954855,0.8673141067297443,0.7460216692030557,0.7086821361177399
damped_persistence,1,C_Beaufort_Sea_Coast,84,1.8857035365261061,0.3687100165074651,0.9087036509520916,-0.10149445477007801,0.8008110710962763
damped_persistence,1,C_Bight_of_Benin_Coast,84,5.2690746844826295,0.6252610439712818,0.9179155267963643,0.3649741390479634,0.8401541218786972
damped_persistence,1,C_Bismark_Sea_Islands,84,0.8729308872339774,0.5628165375659472,0.5705604713559649,0.2890707666888376,0.29791847207932165
damped_persistence,1,C_Borneo,84,2.7637566145427996,0.7992699068143023,0.7541595799973043,0.6363844961531515,0.5595155920708138
damped_persistence,1,C_Buor_Khaya_Gulf_Coast,84,4.592324988135545,0.6104729512890636,0.8475308893069424,0.3571785331875488,0.7120093015081179
damped_persistence,1,C_California_and_Baja_California,84,2.8738923637779314,0.8954670989536374,0.9257395553734195,0.8005371495055869,0.8546989635325086
damped_persistence,1,C_Canadian_South_Arctic_Ocean_Coast,84,2.1546997715517,0.6494798055607566,0.9101756037270554,0.3993228352863627,0.8085518713862394
damped_persistence,1,C_Capim_River_Delta,84,4.8295129125388945,0.8731729258409764,0.9762619535222381,0.7531281065988567,0.950286410842473
damped_persistence,1,C_Carribean_Coast,84,2.4179578673716184,0.945353285808486,0.9738622767722401,0.8925914465148953,0.9480028217073417
damped_persistence,1,C_Central_America_Gulf_of_Mexico_Caribbean_Coast,84,3.1058327845372657,0.8150192845280751,0.9314366008677915,0.6588611040950819,0.8654200612413422
damped_persistence,1,C_Central_American_Pacific_Coast,84,2.0065358663430723,0.7905948650139248,0.96099084084677,0.566179300201924,0.9099134443995638
damped_persistence,1,C_Chao_Phraya_River_Gulf_of_Thailand_Coast,84,4.109932951590513,0.8837934096468504,0.9636991799652093,0.744845659842745,0.9229189630002628
damped_persistence,1,C_Chukchi_Peninsula,84,2.889172822501064,0.6352363735426008,0.9255114844131659,0.37831514643152775,0.8501381925361996
damped_persistence,1,C_Churchill_Seal_Rivers,84,1.4088409956750954,0.9640198573992353,0.9692487225258932,0.9276084476920524,0.9382667578972201
damped_persistence,1,C_Columbia_Ecuador_Pacific_Coast,84,1.3743748671653997,0.6619070374591509,0.7641777863827938,0.4106417277615415,0.5681463289599693
damped_persistence,1,C_Crimea_West_Azov_Sea_Coast,84,2.5519170560910855,0.8433230222299198,0.925951169689678,0.7072269789693165,0.8555305586148232
damped_persistence,1,C_Cuba,84,2.251653296088176,0.5387748647139902,0.9109426187548307,0.28351319451292023,0.8281059939720521
damped_persistence,1,C_Deccan_Plateau_East_Indian_Subcontinent_Coast,84,3.0136946926244907,0.8184371766020884,0.9787025249041914,0.6069267027468944,0.9504953842410158
damped_persistence,1,C_Denmark_Germany_Coast,84,0.9952104785756715,0.871129867696868,0.8614428398040181,0.7549852024023728,0.739378807554541
damped_persistence,1,C_East_Australia_Coast,84,2.227080147919734,0.8678127514537693,0.8232397940622669,0.746392846070997,0.6590208577094594
damped_persistence,1,C_East_Azov_Sea_Northeast_Black_Sea_Coast,84,4.011321094621882,0.8008040954528247,0.8863069978589785,0.6320056135211252,0.7787845923423315
damped_persistence,1,C_East_Barents_Sea_Coast,84,2.4181065567785938,0.8029500533260402,0.9497598837179546,0.6335661152786811,0.9004590965547749
damped_persistence,1,C_East_Beaufort_Sea_Amundsen_Gulf_Coast,84,1.3946154852195078,0.4285209131996615,0.9415801047895288,0.07642826938991931,0.8808854675949767
damped_persistence,1,C_East_Brazil_South_Atlantic_Coast,84,2.55130665483913,0.8292591645473218,0.924661694292254,0.6379113949321981,0.8324102690206341
damped_persistence,1,C_East_Caspian_Sea_Coast,84,1.2028926690032948,0.9478325178178685,0.9892170026174296,0.8557973435699786,0.9697652409868474
damped_persistence,1,C_East_Central_Africa_Coast,84,3.264573527932748,0.8236738635897997,0.9585408162371364,0.585637613305166,0.8937404811482097
damped_persistence,1,C_East_China_Coast,84,4.915557079850794,0.7014481346515533,0.8749520418699771,0.45030934001162215,0.7471655626168844
damped_persistence,1,C_East_Hudson_Bay_Coast,84,1.9374500232238923,0.5835923782408866,0.8793097265177291,0.27792003573626445,0.7566483607575609
damped_persistence,1,C_East_Mediterranean_Coast,84,2.120567674980261,0.8709876933187144,0.968458196312998,0.7497331417180606,0.9364506855441388
damped_persistence,1,C_East_Mississippi_Delta,84,3.9132406887770714,0.9015839071474647,0.9201186329591745,0.8088267746306991,0.8409383652541204
damped_persistence,1,C_East_Nile_Delta,84,0.39749071257361246,0.5210268052860016,0.8528153665089193,0.24764775112502502,0.7253843259544319
damped_persistence,1,C_East_Ob_Bay_Coast,84,2.7210007809795207,0.655909502627636,0.9323870205724364,0.4219708190074374,0.866939827375317
damped_persistence,1,C_East_Red_Sea_North_Gulf_of_Aden_Coast,84,0.6323212841996512,0.6350986655796071,0.6709197473614636,0.04536769843662869,0.14971737008734665
damped_persistence,1,C_East_Timor_Islands,84,0.5937853221224638,0.7383509864246175,0.8549643355022915,0.51721768231185,0.7130884180568366
damped_persistence,1,C_Ellef_Ringnes_Bathurst_Devon_Islands,84,3.923055758117012,0.9283711530568146,0.8852306643750752,0.8444776998235086,0.7489435562847744
damped_persistence,1,C_Ellesmere_Island,84,2.730371834053008,0.9372234714089858,0.99156666423901,0.873489333798419,0.981067628678271
damped_persistence,1,C_Great_Britain,84,1.434352890773412,0.8136665138010086,0.8772617608144279,0.6238348462626874,0.7474277997450722
damped_persistence,1,C_Greater_Dniester_Basin,84,2.1012662731448195,0.8332076325872951,0.932784003991694,0.657066789314042,0.853402291133485
damped_persistence,1,C_Gulf_of_Darien_Coast,84,2.21815739543479,0.8721924050878955,0.9295033411155881,0.7602386605441398,0.8617164978324874
damped_persistence,1,C_Gulf_of_Guinea_Coast,84,2.779559756422482,0.8240552703923629,0.9030084954641401,0.6739515869270158,0.8119894128862437
damped_persistence,1,C_Gydan_Bay_Coast,84,4.246658519388609,0.15819325217114638,0.8843564826578508,-0.019785084154989807,0.780966139307116
damped_persistence,1,C_Hainan,84,2.2750492601535655,0.4483287916470547,0.8143813320822271,0.11017550923308328,0.6475179711111485
damped_persistence,1,C_Hispaniola,84,2.9149977915558654,0.18526762919359535,0.717002257393233,-0.09378927534666848,0.48481650840651214
damped_persistence,1,C_Hokkaido,84,1.5063720382500776,0.7792563238049568,0.8674023459036155,0.29682238439813946,0.09794194176588522
damped_persistence,1,C_Hub_Porali_Basin,84,1.014188073944196,0.8955001911928718,0.8168093116579369,0.7951782492816909,0.652882720940127
damped_persistence,1,C_Iberian_Atlantic_Coast,84,2.978062676982208,0.846230626970496,0.9019829240240981,0.7136867334575424,0.8119739244808034
damped_persistence,1,C_Iceland,84,8.97420645881825,0.49007746654991186,0.850571468590511,0.0735559661650701,0.7018775766704719
damped_persistence,1,C_India_West_Coast,84,3.711181573835469,0.5232353057359993,0.9698309739946156,0.042384857482252736,0.9234980191553056
damped_persistence,1,C_Indian_Ocean_Africa_Coast,84,3.7629147628132387,0.819833403339534,0.914846642266207,0.6202785899968792,0.8087098561552658
damped_persistence,1,C_Ireland,84,2.2173620429849246,0.576114707265722,0.7407048951833599,0.3192483147208801,0.5378997698197098
damped_persistence,1,C_Irrawaddy_Sittang_Salween_Basin,84,3.5998040455658344,0.8394284691501529,0.9704241321660766,0.6666655359483624,0.9414797099543808
damped_persistence,1,C_Japan,84,2.2418953740146557,0.724507183160408,0.6946115050287759,0.382607879739293,0.007768575536046707
damped_persistence,1,C_Java,84,2.6905395064903637,0.7579613216802993,0.7805534797268983,0.5590373839778915,0.5966958872853948
damped_persistence,1,C_Kamchatka_Peninsula,84,3.2453718356780596,0.590931784308061,0.9508209367835804,0.3034357068937552,0.8992434919923353
damped_persistence,1,C_La_Plata_Delta,84,3.173732264910242,0.9192745035138317,0.926792606058416,0.8367116806040298,0.8478291017484839
damped_persistence,1,C_Labrador_Sea_Coast,84,2.829578741535825,0.8286849220447884,0.8822217859543013,0.6409032413561541,0.774684544157935
damped_persistence,1,C_Madagascar,84,2.5318149545083575,0.8531740373812591,0.9605534811473952,0.707124322489493,0.9222558721437568
damped_persistence,1,C_Malaysian_Peninsula_Coast,84,1.8335347510699438,0.6085237684998531,0.9285524288792002,0.2160718115045478,0.8473501888092999
damped_persistence,1,C_Melville_Prince_Patrick_Islands,84,2.6781227044305527,0.8071499772665456,0.8528250956666583,0.6360453048092847,0.7025432265695202
damped_persistence,1,C_Namibia_Coast,84,0.8248282498991376,0.883677983816218,0.847543435982385,0.7746929653847485,0.7058284733753863
damped_persistence,1,C_Neva_River_Finland_Coast,84,2.192705749309188,0.7471710085496073,0.9165378076070383,0.5564778152343385,0.8399635173611266
damped_persistence,1,C_New_Brunswick_and_Nova_Scotia_Coast,84,3.418919695196798,0.4535241538780771,0.9073748738614702,0.15963654395206994,0.8079501496464526
damped_persistence,1,C_New_Siberian_Islands,84,0.303203625758466,0.7803420516297092,0.8460108381545598,0.5922758922526954,0.6352692926014616
damped_persistence,1,C_New_Zealand_North_Island,84,1.466775482068222,0.4507411455539503,0.8982548663140304,0.2002755868883257,0.8021463069768555
damped_persistence,1,C_New_Zealand_South_Island,84,1.1021830437723943,0.5902222809095284,0.8669546020648958,0.3310755838063072,0.7405512084344945
damped_persistence,1,C_Nigerian_Delta,84,3.9657825926527286,0.5364694898522062,0.9429926622216749,0.2813954366082927,0.8891597933026382
damped_persistence,1,C_North_Argentina_South_Atlantic_Coast,84,1.688075085143352,0.9286478282781602,0.9306054456074361,0.8610028290222378,0.8616020384669622
damped_persistence,1,C_North_Australia_Coast,84,3.7146044774700164,0.9244062511741694,0.9618790115331312,0.8413218274400218,0.9194514445664865
damped_persistence,1,C_North_Baffin_Island_Coast,84,3.0164842397947367,0.9481014120054481,0.9525467154701109,0.8868843064043332,0.8866909784561504
damped_persistence,1,C_North_Brazil_South_Atlantic_Coast,84,4.818233058097804,0.8568380052504353,0.9759518345738913,0.7140372740795967,0.9483031205195447
damped_persistence,1,C_North_Caspian_Sea_Coast,84,1.4463102743790686,0.8270735219641807,0.9257955588399147,0.6635656184089131,0.8432985127702347
