model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
coupled_corr_top1,kalman_ar1,4,18468,81,-0.0036845013937147897,-0.00867767266957437,0.0015651736620288781,1.4000336338843415,0.16536949839261014
coupled_corr_top1,kalman_own_ridge,4,18468,81,-0.021411613184295852,-0.026525456042529906,-0.01642339083157986,9.560784677437237,6.9716373354837495e-15
coupled_corr_top1,kalman_corr_top1,4,18468,81,-0.009896438132137142,-0.014950952510888443,-0.0049435234131154195,3.917386509957476,0.0001874775782608575
kalman_corr_top1,kalman_own_ridge,5,18240,80,-0.011620586089374108,-0.017680149141426092,-0.006889147265348364,3.8962194632226415,0.000203426684296199
kalman_corr_top1,kalman_ar1,5,18240,80,0.0002671514159928723,-0.005650499920701063,0.005559748120988235,-0.08406641652023657,0.9332162915668354
kalman_pred_lag1_top1,kalman_own_ridge,5,18240,80,-0.03398644648981475,-0.04754092430520334,-0.022573532869764816,4.648260077138466,1.3198875704310035e-05
kalman_pred_lag1_top1,kalman_corr_top1,5,18240,80,-0.02210894154190779,-0.03119515117805429,-0.014596944414151642,4.37696874235693,3.646703074050886e-05
fusion_corr_top1,kalman_ar1,5,18240,80,-0.009356922369027298,-0.013816571179630605,-0.004977420918607612,4.257329703946335,5.6507637471094154e-05
fusion_corr_top1_mle,kalman_ar1,5,18240,80,-0.02425328380697045,-0.032124656252484216,-0.016922906916627588,6.118192223049318,3.418711127798824e-08
fusion_corr_top1,kalman_own_ridge,5,18240,80,-0.02135909890983334,-0.026916664417562665,-0.016809590506551307,10.005387405602633,1.076935568822627e-15
fusion_corr_top1,kalman_corr_top1,5,18240,80,-0.009626645557011981,-0.014921259445319935,-0.004486361754101656,3.6533070954923392,0.00046395354974960063
coupled_corr_top1,kalman_ar1,5,18240,80,-0.00366697000520233,-0.007662693442063606,0.0002495742522912179,1.9042407982527434,0.060519488657096145
coupled_corr_top1,kalman_own_ridge,5,18240,80,-0.015601487810762205,-0.020945540800088435,-0.010912563514059654,7.49694849659094,8.265594185938051e-11
coupled_corr_top1,kalman_corr_top1,5,18240,80,-0.003935172708156465,-0.010093486203280998,0.0029240110040287203,1.1774456203784018,0.24255280235639473
