model,horizon,n,rmse_std,damped_ref,skill_vs_damped,dm_stat_vs_damped,dm_p_vs_damped
climatology_zero,1,19152,1.4505603907061526,damped_persistence_rho,-3.743279101973938,24.637440284041524,6.275381721853267e-40
persistence,1,19152,0.6806066123880176,damped_persistence_rho,-0.04423772667881298,2.357873978046029,0.020732421325676157
damped_persistence_rho,1,19152,0.6660341143686006,damped_persistence_rho,0.0,,
damped_persistence_reg,1,19152,0.6691324030370198,damped_persistence_rho,-0.009325333293139781,8.744041742669609,2.1242675061999694e-13
ridge_own_lags,1,19152,0.6644630376932019,damped_persistence_rho,0.004712142131927388,-0.49846350282886104,0.6194757696974568
ridge_own_plus_indices,1,19152,0.6636574339741848,damped_persistence_rho,0.007124079270033445,-0.7237544187129131,0.4712514812654814
ridge_own_perbasin,1,19152,0.6619700825645112,damped_persistence_rho,0.01216644218742191,-0.9858761152093514,0.32705916667201496
kalman_ar1,1,19152,0.6641524640095269,damped_persistence_rho,0.005642330747080648,-0.5238882005879063,0.6017524528325089
kalman_own_ridge,1,19152,0.665129741500829,damped_persistence_rho,0.0027138515820156472,-0.2521749845759227,0.8015292239832813
kalman_corr_top1,1,19152,0.6668492627788989,damped_persistence_rho,-0.0024492656342911534,0.22256811238673485,0.8244184429026506
climatology_zero,2,18924,1.4679441039653707,damped_persistence_rho,-1.8435432742813016,25.07030125309666,3.3220405868866204e-40
persistence,2,18924,0.9007309967683083,damped_persistence_rho,-0.07060932244579488,2.9415225043716027,0.0042442761556241
damped_persistence_rho,2,18924,0.8705216929258747,damped_persistence_rho,0.0,,
damped_persistence_reg,2,18924,0.8761395192177067,damped_persistence_rho,-0.012948450068242856,5.803710531087193,1.1807138330270391e-07
ridge_own_lags,2,18924,0.8632006269966798,damped_persistence_rho,0.016749222900814265,-1.3420574141623038,0.1832816375197881
ridge_own_plus_indices,2,18924,0.8619588855036144,damped_persistence_rho,0.019576063074520755,-1.3935728270041834,0.16721231158118693
ridge_own_perbasin,2,18924,0.8563134931957446,damped_persistence_rho,0.03237656325528904,-2.8291638323594412,0.005865558839109342
kalman_ar1,2,18924,0.8424462498738764,damped_persistence_rho,0.0634624242484656,-7.19719944147966,2.652429489086469e-10
kalman_own_ridge,2,18924,0.8477908265719529,damped_persistence_rho,0.05154172470430818,-6.551627617048867,4.679641616256954e-09
kalman_corr_top1,2,18924,0.8518942358999668,damped_persistence_rho,0.04233820168039104,-4.774397404194977,7.769952841746242e-06
climatology_zero,3,18696,1.484850481722767,damped_persistence_reg,-1.413014565481821,22.016737613693625,6.191589606041405e-36
persistence,3,18696,0.9781369268985264,damped_persistence_reg,-0.04711361053145002,1.9913646951077952,0.04981158315650996
damped_persistence_rho,3,18696,0.9884235578529197,damped_persistence_reg,-0.06925347523835534,6.645704116139956,3.228212816503727e-09
damped_persistence_reg,3,18696,0.9558786300905203,damped_persistence_reg,0.0,,
ridge_own_lags,3,18696,0.945461236926733,damped_persistence_reg,0.021677705140992987,-1.9249120765124519,0.057750870742907516
ridge_own_plus_indices,3,18696,0.9425645760485489,damped_persistence_reg,0.027663200198493665,-2.0650961192244432,0.04211237990249873
ridge_own_perbasin,3,18696,0.9450044417242832,damped_persistence_reg,0.022622820511502217,-2.688783610883719,0.008703821670838163
kalman_ar1,3,18696,0.9334253482555611,damped_persistence_reg,0.04642759226776505,-6.670722158920413,2.8921357642978034e-09
kalman_own_ridge,3,18696,0.9314155771801275,damped_persistence_reg,0.0505294715797826,-7.224828932394728,2.4743726404471966e-10
kalman_corr_top1,3,18696,0.9368030140609305,damped_persistence_reg,0.039513967400701344,-5.728967567169355,1.6631364248352928e-07
climatology_zero,4,18468,1.500864285557392,damped_persistence_reg,-1.1926067270821838,21.634296662678317,3.576204397066154e-35
persistence,4,18468,1.0300434815643726,damped_persistence_reg,-0.03273527605898119,1.2759932652539459,0.20565016987981033
damped_persistence_rho,4,18468,1.0869041921719258,damped_persistence_reg,-0.14990092490015194,9.674192552809084,4.181950811480829e-15
damped_persistence_reg,4,18468,1.013587047645102,damped_persistence_reg,0.0,,
ridge_own_lags,4,18468,1.0160136321315747,damped_persistence_reg,-0.004793844163836214,0.5765144715890382,0.5658860887951707
ridge_own_plus_indices,4,18468,1.012880796290556,damped_persistence_reg,0.0013930827230355103,-0.12649016063455132,0.8996613094756601
ridge_own_perbasin,4,18468,1.0164918858504404,damped_persistence_reg,-0.0057400115731409684,0.7997947859402746,0.42619820690758214
kalman_ar1,4,18468,1.0057261676217673,damped_persistence_reg,0.015450863331392006,-2.4327643328380604,0.01721525400462114
