name,dm_stat,p,a_better,bh_threshold,significant
E_Lower_Lake_Chad,-5.7447404890967535,1.5142621327106762e-07,True,0.0004273504273504274,True
R_Niger_River,-5.679189277187102,1.9944830317443245e-07,True,0.0008547008547008548,True
E_Rift_Valley,-5.005393682623844,3.1345331113634844e-06,True,0.001282051282051282,True
C_Ziya_He_Interior_Coast,-4.891241037638393,4.9217036286526675e-06,True,0.0017094017094017096,True
E_Lake_Rukwa_Basin,-4.140688104088461,8.356093768227757e-05,True,0.002136752136752137,True
R_Mackenzie_River,-3.906016356708411,0.00019193695269865475,True,0.002564102564102564,True
C_East_Central_Africa_Coast,-3.5468780727080316,0.000647711683880695,True,0.0029914529914529917,True
R_Nile_River,-3.364645420438008,0.001167668339137577,True,0.0034188034188034192,True
R_Yenisey_River,3.3094681502556447,0.0013903740029837413,False,0.0038461538461538464,True
R_Shebelli_Juba_Rivers,-3.284925170097415,0.0015017475769706296,True,0.004273504273504274,True
C_South_Africa_South_Coast,-3.220872636426227,0.0018330931144002307,True,0.0047008547008547015,True
C_Greater_Dniester_Basin,-3.2023674143858276,0.0019408711253682028,True,0.005128205128205128,True
E_Upper_Lake_Chad,-3.161348459618976,0.0022012409128402233,True,0.005555555555555556,True
R_Yukon_River,3.156164714717049,0.0022363730066924502,False,0.005982905982905983,True
C_South_Chile_South_Pacific_Coast,-3.1325866530291844,0.002402871265688886,True,0.00641025641025641,True
C_Yellow_Sea_Coast,-3.093743579458514,0.0027025712250031892,True,0.0068376068376068385,True
C_Indian_Ocean_Africa_Coast,-3.026310137634421,0.0033068287184535913,True,0.007264957264957266,True
C_East_Brazil_South_Atlantic_Coast,-2.930813257390314,0.004378753691569671,True,0.007692307692307693,True
E_Junggar_Pendi,-2.908098148214746,0.0046771033987419485,True,0.00811965811965812,True
R_Sao_Francisco_River,-2.8989657127472257,0.004802249661447388,True,0.008547008547008548,True
R_Indus_River,-2.8941828751611407,0.0048690155564446135,True,0.008974358974358975,True
C_Novaya_Zemlya,-2.7533849619853292,0.007261434825537321,True,0.009401709401709403,True
E_Turpan_Pendi,-2.6068532904458666,0.010852458617926794,True,0.009829059829059829,False
E_Saharan_and_Algerian_Atlas,-2.595450195186349,0.011190283537591748,True,0.010256410256410256,False
C_Angola_Coast,2.53991309695842,0.012975452259781731,False,0.010683760683760684,False
C_Victoria_Island,-2.5317186130848732,0.013259545031931,True,0.011111111111111112,False
C_Buor_Khaya_Gulf_Coast,2.5113449739778777,0.013990291472173568,False,0.011538461538461539,False
C_North_Korea_Bay_Korean_Peninsula,-2.471954177394383,0.015506543585345442,True,0.011965811965811967,False
C_Central_American_Pacific_Coast,-2.4609811573014557,0.015954370642813322,True,0.012393162393162394,False
C_Svalbard,-2.4509237225539913,0.016374965326287197,True,0.01282051282051282,False
E_Northern_Kordofan,-2.4471713848771444,0.01653440878631466,True,0.01324786324786325,False
E_Jordan_Northwest_Saudi_Arabia,-2.4071023363331494,0.018325580869804566,True,0.013675213675213677,False
C_Madagascar,2.3976842793570583,0.018770918499816786,False,0.014102564102564103,False
C_South_Hudson_Strait_Ungava_Bay_Coast,-2.3767939647362746,0.019793294018387083,True,0.014529914529914532,False
C_Severnaya_Zemlya,-2.345751217356649,0.021404023904014687,True,0.014957264957264958,False
