
===== all_matched =====
     subset                  model  horizon  rmse_std     n  n_months  n_basins  skill_vs_damped
coverage_ge_0.5             kalman_ar1        1  1.031401 12540        60       209         0.049151
coverage_ge_0.5              ridge_own        1  1.032614 12540        60       209         0.046913
coverage_ge_0.5 damped_persistence_rho        1  1.057723 12540        60       209         0.000000
coverage_ge_0.5           li_lstm_full        1  1.120628 12540        60       209        -0.122482
coverage_ge_0.5        li_lstm_nonseas        1  1.208055 12540        60       209        -0.304456
coverage_ge_0.5           li_lstm_full        2  1.152938 12540        60       209         0.145860
coverage_ge_0.5   lstmres_corr_top1_s0        2  1.168298 12540        60       209         0.122949
coverage_ge_0.5  lstmres_corr_top1_ens        2  1.171590 12540        60       209         0.118000
coverage_ge_0.5       lstm_own_era5_s0        2  1.176522 12540        60       209         0.110558
coverage_ge_0.5   lstmres_corr_top1_s1        2  1.178618 12540        60       209         0.107387
coverage_ge_0.5      lstm_own_era5_ens        2  1.181224 12540        60       209         0.103434
coverage_ge_0.5       lstm_own_era5_s1        2  1.189646 12540        60       209         0.090604
coverage_ge_0.5             kalman_ar1        2  1.191157 12540        60       209         0.088293
coverage_ge_0.5         ridge_own_era5        2  1.194986 12540        60       209         0.082422
coverage_ge_0.5   ridge_corr_top1_era5        2  1.197229 12540        60       209         0.078974
coverage_ge_0.5              ridge_own        2  1.198643 12540        60       209         0.076798
coverage_ge_0.5        li_lstm_nonseas        2  1.230710 12540        60       209         0.026740
coverage_ge_0.5 damped_persistence_rho        2  1.247502 12540        60       209         0.000000
coverage_ge_0.5           li_lstm_full        3  1.183757 12540        60       209         0.238806
coverage_ge_0.5        li_lstm_nonseas        3  1.249619 12540        60       209         0.151747
coverage_ge_0.5   lstmres_corr_top1_s0        3  1.259221 12540        60       209         0.138662
coverage_ge_0.5  lstmres_corr_top1_ens        3  1.262783 12540        60       209         0.133782
coverage_ge_0.5       lstm_own_era5_s0        3  1.268302 12540        60       209         0.126193
coverage_ge_0.5   lstmres_corr_top1_s1        3  1.268701 12540        60       209         0.125644
coverage_ge_0.5      lstm_own_era5_ens        3  1.272224 12540        60       209         0.120782
coverage_ge_0.5       lstm_own_era5_s1        3  1.278324 12540        60       209         0.112329
coverage_ge_0.5              ridge_own        3  1.279427 12540        60       209         0.110797
coverage_ge_0.5         ridge_own_era5        3  1.281386 12540        60       209         0.108073
coverage_ge_0.5             kalman_ar1        3  1.282613 12540        60       209         0.106363
coverage_ge_0.5   ridge_corr_top1_era5        3  1.284357 12540        60       209         0.103931
coverage_ge_0.5 damped_persistence_rho        3  1.356798 12540        60       209         0.000000
coverage_ge_0.5           li_lstm_full        4  1.216564 12540        60       209         0.296489
coverage_ge_0.5        li_lstm_nonseas        4  1.265308 12540        60       209         0.238985
coverage_ge_0.5   lstmres_corr_top1_s0        4  1.323730 12540        60       209         0.167088
coverage_ge_0.5  lstmres_corr_top1_ens        4  1.323888 12540        60       209         0.166889
coverage_ge_0.5   lstmres_corr_top1_s1        4  1.325430 12540        60       209         0.164947
coverage_ge_0.5       lstm_own_era5_s0        4  1.332925 12540        60       209         0.155476
coverage_ge_0.5      lstm_own_era5_ens        4  1.334001 12540        60       209         0.154112
coverage_ge_0.5              ridge_own        4  1.336118 12540        60       209         0.151425
coverage_ge_0.5       lstm_own_era5_s1        4  1.336299 12540        60       209         0.151195
coverage_ge_0.5         ridge_own_era5        4  1.339773 12540        60       209         0.146776
coverage_ge_0.5   ridge_corr_top1_era5        4  1.343730 12540        60       209         0.141729
coverage_ge_0.5             kalman_ar1        4  1.354471 12540        60       209         0.127953
coverage_ge_0.5 damped_persistence_rho        4  1.450440 12540        60       209         0.000000
coverage_ge_0.5           li_lstm_full        5  1.253131 12540        60       209         0.325207
coverage_ge_0.5        li_lstm_nonseas        5  1.293759 12540        60       209         0.280742
coverage_ge_0.5   lstmres_corr_top1_s0        5  1.396656 12540        60       209         0.161784
coverage_ge_0.5  lstmres_corr_top1_ens        5  1.400901 12540        60       209         0.156680
coverage_ge_0.5   lstmres_corr_top1_s1        5  1.406906 12540        60       209         0.149434
coverage_ge_0.5              ridge_own        5  1.407068 12540        60       209         0.149239
coverage_ge_0.5       lstm_own_era5_s0        5  1.408657 12540        60       209         0.147316
coverage_ge_0.5      lstm_own_era5_ens        5  1.412067 12540        60       209         0.143182
coverage_ge_0.5         ridge_own_era5        5  1.412112 12540        60       209         0.143128
coverage_ge_0.5   ridge_corr_top1_era5        5  1.415940 12540        60       209         0.138477
coverage_ge_0.5       lstm_own_era5_s1        5  1.416866 12540        60       209         0.137349
coverage_ge_0.5             kalman_ar1        5  1.428400 12540        60       209         0.123248
coverage_ge_0.5 damped_persistence_rho        5  1.525497 12540        60       209         0.000000
coverage_ge_0.5           li_lstm_full        6  1.278788 12540        60       209         0.349505
coverage_ge_0.5        li_lstm_nonseas        6  1.315472 12540        60       209         0.311649
coverage_ge_0.5   lstmres_corr_top1_s0        6  1.468280 12540        60       209         0.142440
coverage_ge_0.5  lstmres_corr_top1_ens        6  1.470100 12540        60       209         0.140313
coverage_ge_0.5   lstmres_corr_top1_s1        6  1.473977 12540        60       209         0.135772
coverage_ge_0.5              ridge_own        6  1.478343 12540        60       209         0.130644
coverage_ge_0.5       lstm_own_era5_s0        6  1.482820 12540        60       209         0.125371
coverage_ge_0.5         ridge_own_era5        6  1.484194 12540        60       209         0.123750
coverage_ge_0.5      lstm_own_era5_ens        6  1.485645 12540        60       209         0.122036
coverage_ge_0.5   ridge_corr_top1_era5        6  1.487966 12540        60       209         0.119290
coverage_ge_0.5       lstm_own_era5_s1        6  1.489882 12540        60       209         0.117021
coverage_ge_0.5             kalman_ar1        6  1.491062 12540        60       209         0.115622
coverage_ge_0.5 damped_persistence_rho        6  1.585538 12540        60       209         0.000000

===== headline (all_matched) =====
     subset                 model                     vs  horizon  n_rows  n_months   skill   ci_lo   ci_hi  dm_stat   dm_p
all_matched lstmres_corr_top1_ens           li_lstm_full        1   13620        60  0.2001  0.0813  0.3050  -3.8008 0.0003
all_matched lstmres_corr_top1_ens           li_lstm_full        2   13620        60 -0.0349 -0.1646  0.0756   0.6721 0.5041
all_matched lstmres_corr_top1_ens           li_lstm_full        3   13620        60 -0.1294 -0.2399 -0.0349   2.4974 0.0153
all_matched lstmres_corr_top1_ens           li_lstm_full        4   13620        60 -0.1744 -0.2853 -0.0873   3.2133 0.0021
all_matched lstmres_corr_top1_ens           li_lstm_full        5   13620        60 -0.2364 -0.3566 -0.1537   4.0882 0.0001
all_matched lstmres_corr_top1_ens           li_lstm_full        6   13620        60 -0.3034 -0.4214 -0.2219   5.3592 0.0000
all_matched  lstmres_corr_top1_s0           li_lstm_full        1   13620        60  0.2003  0.0846  0.3039  -3.8438 0.0003
all_matched  lstmres_corr_top1_s0           li_lstm_full        2   13620        60 -0.0290 -0.1565  0.0806   0.5644 0.5746
all_matched  lstmres_corr_top1_s0           li_lstm_full        3   13620        60 -0.1236 -0.2333 -0.0311   2.4069 0.0192
all_matched  lstmres_corr_top1_s0           li_lstm_full        4   13620        60 -0.1741 -0.2841 -0.0878   3.2252 0.0021
all_matched  lstmres_corr_top1_s0           li_lstm_full        5   13620        60 -0.2295 -0.3505 -0.1471   3.9528 0.0002
all_matched  lstmres_corr_top1_s0           li_lstm_full        6   13620        60 -0.3004 -0.4171 -0.2207   5.3916 0.0000
all_matched  lstmres_corr_top1_s1           li_lstm_full        1   13620        60  0.1929  0.0703  0.3005  -3.5822 0.0007
all_matched  lstmres_corr_top1_s1           li_lstm_full        2   13620        60 -0.0474 -0.1818  0.0660   0.8892 0.3775
all_matched  lstmres_corr_top1_s1           li_lstm_full        3   13620        60 -0.1393 -0.2525 -0.0432   2.6442 0.0105
all_matched  lstmres_corr_top1_s1           li_lstm_full        4   13620        60 -0.1770 -0.2895 -0.0890   3.2324 0.0020
all_matched  lstmres_corr_top1_s1           li_lstm_full        5   13620        60 -0.2464 -0.3698 -0.1626   4.2386 0.0001
all_matched  lstmres_corr_top1_s1           li_lstm_full        6   13620        60 -0.3100 -0.4310 -0.2260   5.3309 0.0000
all_matched     lstm_own_era5_ens           li_lstm_full        1   13620        60  0.1936  0.0759  0.2969  -3.7290 0.0004
all_matched     lstm_own_era5_ens           li_lstm_full        2   13620        60 -0.0507 -0.1776  0.0573   0.9972 0.3227
all_matched     lstm_own_era5_ens           li_lstm_full        3   13620        60 -0.1454 -0.2561 -0.0524   2.8076 0.0068
all_matched     lstm_own_era5_ens           li_lstm_full        4   13620        60 -0.1913 -0.3022 -0.1026   3.5426 0.0008
all_matched     lstm_own_era5_ens           li_lstm_full        5   13620        60 -0.2549 -0.3751 -0.1728   4.4803 0.0000
