target,feature,spearman_r,p,n
skill_p3b,abs_lat,-0.054510886489701225,0.4065341451855351,234
skill_p3b,centroid_lat,-0.014546382604094231,0.8248300522267579,234
skill_p3b,log10_area,-0.26847003786096113,3.162151986529166e-05,234
skill_p3b,era5_coverage,-0.1594585671838891,0.014613059914831623,234
skill_p3b,nbr_corr,0.2156818211686813,0.0008975957280525673,234
skill_p3b,nbr_dist_km,-0.14231479591427582,0.02952314637120765,234
skill_p3b,nbr_stable,0.30715396355534746,1.6704941808382308e-06,234
skill_p3b,rho,-0.01740293006844007,0.7911572907097175,234
skill_p3b,log_qr,-0.07259610994429733,0.2687178135784915,234
skill_p3b,coupling,0.10762737822701411,0.10051960726882687,234
skill_p3b,glaciated,0.03551237271096719,0.5888547986300062,234
dm_p3b,abs_lat,0.07521476788210421,0.2517837861288732,234
dm_p3b,centroid_lat,0.03745589326814787,0.5686120219536062,234
dm_p3b,log10_area,0.27131347330415917,2.584883321902663e-05,234
dm_p3b,era5_coverage,0.16075291098576647,0.013819913781674463,234
dm_p3b,nbr_corr,-0.19244666643549793,0.0031187716021784063,234
dm_p3b,nbr_dist_km,0.1462282970954277,0.025291444160107753,234
dm_p3b,nbr_stable,-0.285047200725369,9.455323106083011e-06,234
dm_p3b,rho,0.03511258777444514,0.5930593976872445,234
dm_p3b,log_qr,0.05757535314653387,0.3806253148356266,234
dm_p3b,coupling,-0.09830878566723447,0.13376561357137234,234
dm_p3b,glaciated,-0.04560902769741865,0.487488294007666,234
skill_p4cond,abs_lat,-0.039306561395868314,0.5496489953024172,234
skill_p4cond,centroid_lat,0.0017593522661552982,0.9786441263850841,234
skill_p4cond,log10_area,-0.2691930721699693,3.004798435465681e-05,234
skill_p4cond,era5_coverage,-0.1540929408156146,0.018341517938756297,234
skill_p4cond,nbr_corr,0.2081030126110934,0.0013674312245498931,234
skill_p4cond,nbr_dist_km,-0.1429881972183917,0.02875457587849655,234
skill_p4cond,nbr_stable,0.3085844011502284,1.4858069413235343e-06,234
skill_p4cond,rho,-0.017383262036718347,0.7913878940908446,234
skill_p4cond,log_qr,-0.08202365314957774,0.21125971119484352,234
skill_p4cond,coupling,0.1103684714383796,0.09210019826166599,234
skill_p4cond,glaciated,0.04143110149612839,0.5282687764968904,234
dm_p4cond,abs_lat,0.06199785056510472,0.34505991351494203,234
dm_p4cond,centroid_lat,0.027652784314276424,0.6738854091958001,234
dm_p4cond,log10_area,0.2748153195235654,2.0103748031266663e-05,234
dm_p4cond,era5_coverage,0.1526880814069199,0.019444910153814766,234
dm_p4cond,nbr_corr,-0.18986357770566262,0.003552717333769275,234
dm_p4cond,nbr_dist_km,0.15234416707578471,0.019723644700352483,234
