model,vs,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
hybrid_kalman_li,kalman_corr_top1,3,0.14124391457123742,0.07287536948834462,0.20999403432218383,-3.558125211716033,0.0007446646984618594
hybrid_kalman_li,kalman_corr_top1,4,0.1684111261990393,0.10764553795196856,0.23602552217971542,-3.9985257544159776,0.00017983852191696644
hybrid_kalman_li,kalman_corr_top1,5,0.20155043763981673,0.14940021549198576,0.2677219073944161,-4.745165808951516,1.3658150819200052e-05
hybrid_kalman_li,kalman_corr_top1,6,0.244070585575199,0.19739377850784728,0.3030200374669618,-6.015464545560509,1.2190001896825198e-07
hybrid_kalman_li,kalman_corr_top1,all,0.14424491393146388,,,-3.7465200276975335,0.00038707013655451275
hybrid_kalman_li,li_lstm_full,1,0.14466294956631576,0.038135791564579705,0.24423081241423544,-2.9895800091609597,0.004069202626879973
hybrid_kalman_li,li_lstm_full,2,-0.08487704527846307,-0.19853360678766388,0.013084286610450432,1.8577000223351965,0.06820400285526598
hybrid_kalman_li,li_lstm_full,all,0.00806331743186084,,,-0.4843988689126502,0.6297564669532364
hybrid_kalman_li,damped_persistence_rho,1,0.04981768329785974,0.04026542234724367,0.06261103363762247,-7.076039067410844,2.0113864376576188e-09
hybrid_kalman_li,damped_persistence_rho,2,0.07526366119081618,0.06559162225006043,0.0863760368958705,-11.37217468232105,1.6724423184777933e-16
hybrid_kalman_li,damped_persistence_rho,3,0.2330342275762889,0.1736570696802151,0.2952644236731018,-6.17796443229424,6.53858386097656e-08
hybrid_kalman_li,damped_persistence_rho,4,0.28970918319412187,0.2384285586838262,0.3482772351372591,-7.392560507930422,5.849543105661284e-10
hybrid_kalman_li,damped_persistence_rho,5,0.31696766510616314,0.27130938186842446,0.3750093865538705,-7.72508688907381,1.5976994726274892e-10
hybrid_kalman_li,damped_persistence_rho,6,0.3414308054914126,0.2966594246967578,0.3962942565489188,-8.37781948825041,1.2602303526547474e-11
hybrid_kalman_li,damped_persistence_rho,all,0.24376746856991238,,,-6.308001480904852,2.992152456304988e-08
hybrid_era5_li,ridge_corr_top1_era5,3,0.14359507209098588,0.06648056404572567,0.21979504812206568,-3.223884770712556,0.0020621812163744307
hybrid_era5_li,li_lstm_full,1,0.17346117885889378,0.04629002690221522,0.28427394251307275,-3.1555557994780528,0.0025219227607081083
hybrid_era5_li,li_lstm_full,2,-0.07961292012850674,-0.21205973628479688,0.035338872763606255,1.5156973233753919,0.13493559877053035
hybrid_era5_li,li_lstm_full,all,0.013075450574714265,,,-0.6493909904102697,0.518409558843553
hybrid_era5_li,damped_persistence_rho,1,0.08180924523507149,0.05003101819421196,0.10921751181961876,-6.376089183496254,3.048205257981109e-08
hybrid_era5_li,damped_persistence_rho,2,0.07975073909461172,0.05506363749201259,0.10257319599871256,-7.415109150131522,5.356672503683848e-10
hybrid_era5_li,damped_persistence_rho,3,0.2330342275762889,0.1736570696802151,0.2952644236731018,-6.17796443229424,6.53858386097656e-08
hybrid_era5_li,damped_persistence_rho,4,0.28970918319412187,0.2384285586838262,0.3482772351372591,-7.392560507930422,5.849543105661284e-10
hybrid_era5_li,damped_persistence_rho,5,0.31696766510616314,0.27130938186842446,0.3750093865538705,-7.72508688907381,1.5976994726274892e-10
hybrid_era5_li,damped_persistence_rho,6,0.3414308054914126,0.2966594246967578,0.3962942565489188,-8.37781948825041,1.2602303526547474e-11
hybrid_era5_li,damped_persistence_rho,all,0.24758861784394803,,,-7.0132866735842665,1.7632339950771305e-09
hybrid_kalman_li_h1,kalman_corr_top1,2,0.07823655744939928,-0.013257756140150895,0.1656470826835869,-1.8577000223351965,0.06820400285526598
hybrid_kalman_li_h1,kalman_corr_top1,3,0.14124391457123742,0.07287536948834462,0.20999403432218383,-3.558125211716033,0.0007446646984618594
hybrid_kalman_li_h1,kalman_corr_top1,4,0.1684111261990393,0.10764553795196856,0.23602552217971542,-3.9985257544159776,0.00017983852191696644
hybrid_kalman_li_h1,kalman_corr_top1,5,0.20155043763981673,0.14940021549198576,0.2677219073944161,-4.745165808951516,1.3658150819200052e-05
hybrid_kalman_li_h1,kalman_corr_top1,6,0.244070585575199,0.19739377850784728,0.3030200374669618,-6.015464545560509,1.2190001896825198e-07
hybrid_kalman_li_h1,kalman_corr_top1,all,0.15550234133048846,,,-3.2624635536969073,0.0017735400391873503
hybrid_kalman_li_h1,li_lstm_full,1,0.14466294956631576,0.038135791564579705,0.24423081241423544,-2.9895800091609597,0.004069202626879973
