feature,importance,importance_std,target,cv_r2_mean
log10_area,0.3155168701161437,0.036015547148862966,dm_p3b,0.05255035429273538
nbr_stable,0.16158298670934018,0.019787050464915194,dm_p3b,0.05255035429273538
nbr_corr,0.131393324371478,0.013373310510107768,dm_p3b,0.05255035429273538
log_qr,0.10398726891183023,0.008018451865597116,dm_p3b,0.05255035429273538
coupling,0.09370157431045416,0.007887886091246857,dm_p3b,0.05255035429273538
abs_lat,0.060287608187928554,0.00619100041566904,dm_p3b,0.05255035429273538
era5_coverage,0.05876198307091385,0.005793730832641326,dm_p3b,0.05255035429273538
nbr_dist_km,0.05018609526055181,0.0043649722250909545,dm_p3b,0.05255035429273538
rho,0.04565478526067036,0.0034805755446433505,dm_p3b,0.05255035429273538
centroid_lat,0.036256808069247935,0.0027685184467416534,dm_p3b,0.05255035429273538
cont_africa,0.020977043329205504,0.004753816366040386,dm_p3b,0.05255035429273538
cont_europe,0.005808460617641331,0.0012687503715166839,dm_p3b,0.05255035429273538
snr_low,0.003892949109652999,0.0005951733591106912,dm_p3b,0.05255035429273538
snr_sub_noise,0.003842529358875413,0.0004954493054136223,dm_p3b,0.05255035429273538
cont_north_america,0.0036906402324783207,0.0008758926127937539,dm_p3b,0.05255035429273538
snr_mid,0.0035543193577547427,0.0010206013104315647,dm_p3b,0.05255035429273538
cont_asia,0.003105941942313306,0.0007068651690969357,dm_p3b,0.05255035429273538
cont_south_america,0.00043463592172183764,0.0001502935804292189,dm_p3b,0.05255035429273538
cont_australia,9.439153619745234e-05,3.142546032210498e-05,dm_p3b,0.05255035429273538
glaciated,0.0,0.0,dm_p3b,0.05255035429273538
snr_glaciated,0.0,0.0,dm_p3b,0.05255035429273538
snr_high,0.0,0.0,dm_p3b,0.05255035429273538
coupling,0.3473031751772014,0.03850906890782099,skill_p3b_clipped,0.021635541017306692
log10_area,0.16840640749081504,0.019006282685332065,skill_p3b_clipped,0.021635541017306692
nbr_stable,0.08279278669112641,0.013655717899091672,skill_p3b_clipped,0.021635541017306692
nbr_corr,0.08090163938319041,0.009635116012336312,skill_p3b_clipped,0.021635541017306692
era5_coverage,0.056025669560777556,0.007584083524989548,skill_p3b_clipped,0.021635541017306692
log_qr,0.0549626445754711,0.004508527841963085,skill_p3b_clipped,0.021635541017306692
nbr_dist_km,0.03929561895005949,0.005502428246939463,skill_p3b_clipped,0.021635541017306692
abs_lat,0.03461899438031417,0.0043406403638365215,skill_p3b_clipped,0.021635541017306692
rho,0.027080053898930163,0.003459701673560321,skill_p3b_clipped,0.021635541017306692
centroid_lat,0.018817649824598836,0.002064653219176299,skill_p3b_clipped,0.021635541017306692
cont_africa,0.009407053533813603,0.0019449674034500613,skill_p3b_clipped,0.021635541017306692
cont_europe,0.0031155031010220656,0.0008999420489052419,skill_p3b_clipped,0.021635541017306692
snr_low,0.0030627331580009966,0.0007504772464902829,skill_p3b_clipped,0.021635541017306692
snr_mid,0.002002757963896329,0.0005639599284595716,skill_p3b_clipped,0.021635541017306692
cont_north_america,0.0019222252962139863,0.00046563768276374455,skill_p3b_clipped,0.021635541017306692
cont_asia,0.001349617183076407,0.00028863948618855045,skill_p3b_clipped,0.021635541017306692
snr_sub_noise,0.0008772309843957993,0.00010512302607448384,skill_p3b_clipped,0.021635541017306692
cont_australia,0.000283798632683252,0.00012365880358947872,skill_p3b_clipped,0.021635541017306692
cont_south_america,0.00022986211803375234,6.506755630328891e-05,skill_p3b_clipped,0.021635541017306692
snr_high,0.00010459091087287597,2.3680906932481118e-05,skill_p3b_clipped,0.021635541017306692
glaciated,9.499677829457597e-05,2.13249407603329e-05,skill_p3b_clipped,0.021635541017306692
snr_glaciated,0.0,0.0,skill_p3b_clipped,0.021635541017306692
