name,continent,centroid_lat,centroid_lon,area_km2,glaciated,abs_lat,log10_area,stratum,era5_coverage,nbr_corr,nbr_dist_km,nbr_n_unique,nbr_modal,nbr_stable,rho,log_qr,coupling,skill_p3b,dm_p3b,dm_p_p3b,n_p3b,skill_p4cond,dm_p4cond,dm_p_p4cond,n_p4cond,skill_era5r,dm_era5r,dm_p_era5r,n_era5r,skill_era5c,dm_era5c,dm_p_era5c,n_era5c,li_dm_h4,dist_band,corr_band,lat_band
C_West_Red_Sea_Coast,africa,20.37064552307129,36.37029266357422,243098.421875,0,20.37064552307129,5.385782139537684,sub_noise,0.9270779320785844,0.713386098258016,909.7782716514063,3,C_East_Red_Sea_North_Gulf_of_Aden_Coast,0,0.9704640620780152,-1.2477811269742178,0.8793202853269658,-0.03143857996635546,1.0959898595519812,0.2762916736456423,83,-0.030538844034607937,1.0789199936892857,0.2837868661217382,83,-0.03143857996635546,1.0959898595519812,0.2762916736456423,83,-0.015865090181627073,0.5888185544595841,0.5576015733149959,83,-2.525336676860192,600-1000,mid_corr,tropics
C_South_Gulf_of_Aden_Coast,africa,8.431546211242676,46.7910041809082,532753.375,0,8.431546211242676,5.726526209656504,sub_noise,0.941286225668548,0.6743284125111758,777.476347340386,1,R_Shebelli_Juba_Rivers,1,0.7888158482300289,-0.35118576906018967,0.9234236172992697,0.01622503708477352,-0.9843450122418794,0.3278414383132345,83,0.01812412337729641,-1.1178572253889039,0.26689236084421003,83,0.01622503708477352,-0.9843450122418794,0.3278414383132345,83,0.013938629958921589,-0.9151338461475294,0.36280467409590206,83,-2.300151155022202,600-1000,mid_corr,tropics
R_Shebelli_Juba_Rivers,africa,4.114995956420898,41.25597381591797,807317.9375,0,4.114995956420898,5.907044602019804,sub_noise,0.9952040018984866,0.756168021186527,638.4003645785093,2,E_Rift_Valley,0,0.7975955930085595,0.3574303190026623,0.8232181871327707,0.023867434322218495,-0.8649880123555173,0.38956887869651846,83,0.02283062649108336,-0.8288219144036468,0.40961125020084277,83,0.023867434322218495,-0.8649880123555173,0.38956887869651846,83,0.03252816715417217,-1.218007316907605,0.22671430178292648,83,-3.259163454696812,600-1000,mid_corr,tropics
C_East_Central_Africa_Coast,africa,-8.842026710510254,37.68485641479492,1026780.125,0,8.842026710510254,6.011477453604424,low,0.988106532889832,0.864192589701303,597.8003552982154,1,E_Lake_Rukwa_Basin,1,0.8475075782422635,2.016144428405604,0.6892137741887016,0.09019516774561509,-2.222285683248977,0.02901803668971707,83,0.08916104353087473,-2.2341426020858632,0.02819562724026585,83,0.09019516774561509,-2.222285683248977,0.02901803668971707,83,0.1152687391776187,-3.2058244014767636,0.0019202973024782183,83,-2.535277413895767,300-600,high_corr,tropics
C_South_Zambezia_Coast,africa,-18.405845642089844,36.37495422363281,5879.02783203125,0,18.405845642089844,3.7693055161967326,low,0.8753431723165233,0.6949079399761475,401.81522781626205,1,C_Indian_Ocean_Africa_Coast,1,0.746205747083758,1.467632169091308,0.7468052372397732,0.040185061619516405,-2.7822037185128594,0.006698227915509422,83,0.038322295349367264,-2.6799575508119435,0.00889734160063671,83,0.040185061619516405,-2.7822037185128594,0.006698227915509422,83,0.03733465452396312,-2.820938913741305,0.006004166753411333,83,-0.7822829668613065,300-600,mid_corr,tropics
R_Zambezi_River,africa,-14.893959999084473,27.693653106689453,1376693.75,0,14.893959999084473,6.138837340781669,mid,0.9999999519140386,0.7645553639333207,903.6191005892949,1,E_South_Interior_Africa,1,0.9289618456343188,7.130441211232008,0.44590643950755593,0.0219724792142012,-0.40579209604945915,0.6859522992681473,83,-0.0013727798326654828,0.025148735280317136,0.9799974281029199,83,0.0219724792142012,-0.40579209604945915,0.6859522992681473,83,-0.10989397098566278,1.4902559593606413,0.13999360129194463,83,-0.2594502715700442,600-1000,mid_corr,tropics
C_Indian_Ocean_Africa_Coast,africa,-20.424480438232425,33.196754455566406,243745.15625,0,20.424480438232425,5.3869359940739665,low,0.979470357730162,0.7798157290197842,497.9907588101766,1,R_Limpopo_River,1,0.7469069383234006,7.317423106569075,0.6336696672735883,0.07852157999807385,-2.9162710429841434,0.004567662713643314,83,0.07475277996069285,-2.7569980916004435,0.007188524725760335,83,0.07852157999807385,-2.9162710429841434,0.004567662713643314,83,0.09627082353488792,-3.490628011104342,0.0007785382749357288,83,-2.310412431473394,300-600,high_corr,tropics
R_Limpopo_River,africa,-23.307178497314453,29.50295639038086,413093.1875,0,23.307178497314453,5.616048032895845,low,1.0000000333023396,0.7798157290197842,497.9907588101766,1,C_Indian_Ocean_Africa_Coast,1,0.8121161566863855,7.24358265299338,0.6336696672735911,-0.04525484538932245,1.9039692874904797,0.060421767950688744,83,-0.04591302220848714,1.9351161346576122,0.056423464685979245,83,-0.04525484538932245,1.9039692874904797,0.060421767950688744,83,-0.05579680321108693,2.558756768641838,0.012342860077712276,83,-2.2387957614874665,300-600,high_corr,tropics
C_South_Africa_South_Coast,africa,-30.293731689453125,27.53483963012696,388384.71875,0,30.293731689453125,5.589262133972554,sub_noise,0.9860938834111194,0.8186822928843036,595.4114400456677,1,R_Orange_River,1,0.8602711891791206,0.06056437134956207,0.9144020854919852,0.050025193192716144,-1.992329576600108,0.04966225006495863,83,0.04567306155308826,-1.822091578103472,0.07208692202702544,83,0.050025193192716144,-1.992329576600108,0.04966225006495863,83,0.03886709729338422,-1.787101442975561,0.07761633769234864,83,-0.1259010679357341,300-600,high_corr,S_extratropics
C_South_Africa_West_Coast,africa,-31.5205020904541,18.84754943847656,109535.5078125,0,31.5205020904541,5.039554926000768,sub_noise,0.9450033161121492,0.6122595365164957,787.9089795354678,2,C_South_Africa_South_Coast,0,0.5593887835580594,5.138580001354066,0.6640544211037257,0.06413999518805613,-2.2327357474456044,0.028292126836763954,83,0.06157642387250839,-2.1664300171364097,0.03318128958405263,83,0.06413999518805613,-2.2327357474456044,0.028292126836763954,83,0.05451943493757572,-2.04321102995156,0.0442429338796853,83,-0.4728447809599567,600-1000,low_corr,S_extratropics
