subset,model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
coverage_ge_0.5,kalman_ar1,3,1.2826133939639632,12540,60,209,0.10636278161640966
coverage_ge_0.5,kalman_corr_top1,3,1.2826477129239024,12540,60,209,0.10631495877229435
coverage_ge_0.5,ridge_own_perbasin,3,1.2973321644847737,12540,60,209,0.08573503526915427
coverage_ge_0.5,damped_persistence_rho,3,1.3567978501843474,12540,60,209,0.0
coverage_ge_0.5,persistence,3,1.426500980096735,12540,60,209,-0.10538573368328419
coverage_ge_0.5,climatology_zero,3,1.6854875734561223,12540,60,209,-0.5431950314134846
coverage_ge_0.5,li_lstm_full,4,1.216564204230624,12540,60,209,0.2964894314698827
coverage_ge_0.5,li_lstm_nonseas,4,1.2653079777704188,12540,60,209,0.23898529088486897
coverage_ge_0.5,kalman_own_ridge,4,1.3361182682397534,12540,60,209,0.15142474671824824
coverage_ge_0.5,kalman_corr_top1,4,1.3397950327162358,12540,60,209,0.1467480586065324
coverage_ge_0.5,kalman_ar1,4,1.3544706499020225,12540,60,209,0.12795327401657186
coverage_ge_0.5,ridge_own_perbasin,4,1.3659899600759564,12540,60,209,0.11305728055639752
coverage_ge_0.5,damped_persistence_rho,4,1.4504398417265632,12540,60,209,0.0
coverage_ge_0.5,persistence,4,1.472867284102164,12540,60,209,-0.031164111761795565
coverage_ge_0.5,climatology_zero,4,1.7057327829742521,12540,60,209,-0.38300118175341114
coverage_ge_0.5,li_lstm_full,5,1.2531314107357574,12540,60,209,0.3252067115903804
coverage_ge_0.5,li_lstm_nonseas,5,1.2937592833113,12540,60,209,0.28074236542752484
coverage_ge_0.5,kalman_own_ridge,5,1.4070677158157292,12540,60,209,0.14923910509833138
coverage_ge_0.5,kalman_corr_top1,5,1.4104538916977245,12540,60,209,0.1451393842189802
coverage_ge_0.5,kalman_ar1,5,1.4283996795575578,12540,60,209,0.12324750497322134
coverage_ge_0.5,ridge_own_perbasin,5,1.4481350685013352,12540,60,209,0.09885295353941204
coverage_ge_0.5,persistence,5,1.5134947641683398,12540,60,209,0.015673067752682512
coverage_ge_0.5,damped_persistence_rho,5,1.5254965818557082,12540,60,209,0.0
coverage_ge_0.5,climatology_zero,5,1.7346021470781292,12540,60,209,-0.29293675488197546
coverage_ge_0.5,li_lstm_full,6,1.2787877558355298,12540,60,209,0.3495053893864284
coverage_ge_0.5,li_lstm_nonseas,6,1.3154720520155705,12540,60,209,0.3116488925653401
coverage_ge_0.5,kalman_own_ridge,6,1.478343481687693,12540,60,209,0.1306443807719203
coverage_ge_0.5,kalman_corr_top1,6,1.4817188282546145,12540,60,209,0.1266700318899623
coverage_ge_0.5,kalman_ar1,6,1.491061953757604,12540,60,209,0.11562156975850313
coverage_ge_0.5,ridge_own_perbasin,6,1.5256003769420732,12540,60,209,0.07417620456179597
coverage_ge_0.5,damped_persistence_rho,6,1.5855378645052567,12540,60,209,0.0
coverage_ge_0.5,persistence,6,1.5911402877560512,12540,60,209,-0.007079390944327413
coverage_ge_0.5,climatology_zero,6,1.7563602365116753,12540,60,209,-0.22708304845515448
