name,dm_stat,p,a_better,bh_threshold,significant,comparison
R_Yenisey_River,4.260001427367636,5.417997341243303e-05,False,0.0004273504273504274,True,corr_top1_vs_own_ridge
C_South_Gulf_of_Oman_West_Arabian_Sea_Coast,3.9953350809674317,0.00014032351624632204,False,0.0008547008547008548,True,corr_top1_vs_own_ridge
C_East_Brazil_South_Atlantic_Coast,-3.7972640051488895,0.0002794684554599656,True,0.001282051282051282,True,corr_top1_vs_own_ridge
C_Madagascar,3.781321104350698,0.0002951368195769473,False,0.0017094017094017096,True,corr_top1_vs_own_ridge
E_Tarim_He_Lop_Nur,-3.567392252240765,0.0006054061437865349,True,0.002136752136752137,True,corr_top1_vs_own_ridge
C_South_Hudson_Strait_Ungava_Bay_Coast,-3.3768477512449047,0.001123173666588637,True,0.002564102564102564,True,corr_top1_vs_own_ridge
R_Parana_River,3.363386816210592,0.0011723509150921216,False,0.0029914529914529917,True,corr_top1_vs_own_ridge
C_Aleutians_South_Alaska_Coast,3.361873829264087,0.001178003296123394,False,0.0034188034188034192,True,corr_top1_vs_own_ridge
C_East_Barents_Sea_Coast,3.3030376278149456,0.0014187805254496793,False,0.0038461538461538464,True,corr_top1_vs_own_ridge
E_Farahrud_Helmand_Hamun_i_Mashkel,-3.1706341249793875,0.002139593142128568,True,0.004273504273504274,True,corr_top1_vs_own_ridge
E_Lake_Rukwa_Basin,-3.157410959097811,0.002227879308876044,True,0.0047008547008547015,True,corr_top1_vs_own_ridge
R_Niger_River,-3.154254312335456,0.002249451907339747,True,0.005128205128205128,True,corr_top1_vs_own_ridge
C_Namibia_Coast,-3.1369555428994054,0.0023711730850272334,True,0.005555555555555556,True,corr_top1_vs_own_ridge
R_Sao_Francisco_River,-3.1049683370133216,0.002612571726443301,True,0.005982905982905983,True,corr_top1_vs_own_ridge
C_West_Nile_Delta,-3.1008399454072206,0.0026453435516392253,True,0.00641025641025641,True,corr_top1_vs_own_ridge
R_Yangtze_River,3.024284000448844,0.003326789583473342,False,0.0068376068376068385,True,corr_top1_vs_own_ridge
C_Indian_Ocean_Africa_Coast,-2.9162710429841434,0.004567662713643314,True,0.007264957264957266,True,corr_top1_vs_own_ridge
R_Amur_River,2.8498561718895465,0.0055297374781713045,False,0.007692307692307693,True,corr_top1_vs_own_ridge
C_South_Zambezia_Coast,-2.7822037185128594,0.006698227915509422,True,0.00811965811965812,True,corr_top1_vs_own_ridge
C_Ireland,-2.75869733010078,0.007154467302842793,True,0.008547008547008548,True,corr_top1_vs_own_ridge
C_Southwest_Mediterranean_Coast,-2.6901853113150236,0.008650965271652575,True,0.008974358974358975,True,corr_top1_vs_own_ridge
C_Angola_Coast,2.6540892267233023,0.009549221324117606,False,0.009401709401709403,False,corr_top1_vs_own_ridge
C_Halmahera_Islands,-2.6007965776314266,0.01103072620296252,True,0.009829059829059829,False,corr_top1_vs_own_ridge
C_South_East_Brazil_Coast,-2.494333504692611,0.014627961762334968,True,0.010256410256410256,False,corr_top1_vs_own_ridge
