model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_kalman,dm_p,skill_ci_lo,skill_ci_hi,skill_vs_kalman
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0
coupled_corr_top1,1,1.0491045321308115,19422,50.0,45.0,0.11764705882352941,0.0477853756835942,0.9620034853871566,-0.007664892834671294,0.009690436763510793,-0.00020853146946819834
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.0
coupled_corr_top1,2,1.1957581422208985,19188,50.0,34.0,0.3333333333333333,0.22411799311542685,0.8232298348283108,-0.005567791832035912,0.006243898779276374,-0.0006688912446355388
coupled_corr_top1,3,1.2722058415590243,18954,50.0,50.0,0.0196078431372549,-0.8422120140641782,0.4021800829964142,-0.002026650963213922,0.0064564545961404,0.0018716462673401546
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,0.0
coupled_corr_top1,4,1.3353683893100428,18720,50.0,49.0,0.0392156862745098,-0.7908732926265002,0.43138585577744504,-0.0016192035651474146,0.0050123392480224405,0.0013928517721258915
kalman_ar1,4,1.3362993470513527,18720,,,,,,,,0.0
coupled_corr_top1,5,1.3948138741677965,18486,50.0,45.0,0.11764705882352941,-0.2559846659945922,0.7986365739291368,-0.002028610378552237,0.0031586299412017754,0.00037135066750393353
kalman_ar1,5,1.395072928851735,18486,,,,,,,,0.0
coupled_corr_top1,6,1.4475423773355112,18252,50.0,49.0,0.0392156862745098,-1.011348953532615,0.31501696309493865,-0.000679241867417063,0.003253911609186535,0.0011571117912901885
kalman_ar1,6,1.4483805890107582,18252,,,,,,,,0.0
