model,horizon,rmse_std,n,skill_vs_kalman,skill_vs_ridge_own,dm_stat_vs_kalman,dm_p_vs_kalman
ridge_own_era5_flat12,1,1.0080943629686112,19422,0.07646065788426559,0.07804458668097125,-6.35170195891054,1.1223297682521463e-08
ridge_own_flat12,1,1.04475428331626,19422,0.008069260737834316,0.00977048513684653,-3.003244568922998,0.0035407704336336155
kalman_ar1,1,1.048995163580747,19422,0.0,0.0017150636951501763,,
kalman_own_ridge,1,1.0498958690826776,19422,-0.0017180101920586388,0.0,5.145080875719425,1.7929250787881128e-06
ridge_own_era5_flat12,2,1.1627100245755497,19188,0.05387931223492981,0.06331765427147407,-6.374264277767994,1.0565316001186462e-08
ridge_own_flat12,2,1.1864657883326208,19188,0.014823270735969118,0.02465122932252406,-4.8947264026855635,4.936138436966912e-06
kalman_ar1,2,1.1953584266583883,19188,0.0,0.009975833060832495,,
kalman_own_ridge,2,1.201365758370325,19188,-0.010076353076990285,0.0,7.79594703275833,1.8932411510192677e-11
ridge_own_era5_flat12,3,1.2462092401223608,18954,0.04224692275195563,0.03804602088232023,-6.143985239081882,2.9569821760773162e-08
ridge_own_flat12,3,1.2621663743766212,18954,0.017562720795208597,0.01325354894178099,-7.2038791169916125,2.871555390184066e-10
kalman_own_ridge,3,1.270614535742653,18954,0.004367050774599868,0.0,-9.460588250147989,1.09553212666874e-14
kalman_ar1,3,1.2733980750571514,18954,0.0,-0.004386205556974998,,
ridge_own_era5_flat12,4,1.3147924728184301,18720,0.03192967902052801,0.00853727476254651,-4.890663310188923,5.1900757597448455e-06
kalman_own_ridge,4,1.3204410384757215,18720,0.02359383127830561,0.0,-8.890885611006047,1.588971208414317e-13
ridge_own_flat12,4,1.3241437595001424,18720,0.018110165506351472,-0.005616172805558151,-6.998085671884386,7.535899357988202e-10
kalman_ar1,4,1.3362993470513527,18720,0.0,-0.024163951472361722,,
kalman_own_ridge,5,1.3764233749233163,18486,0.026557606362975772,0.0,-9.13658569331877,5.863932998516664e-14
ridge_own_era5_flat12,5,1.3804362242937067,18486,0.02087334963836074,-0.005839335498197373,-3.4515618039376634,0.0009029596330812892
ridge_own_flat12,5,1.384617945630629,18486,0.014932276348219253,-0.011942494071294218,-5.57606100112969,3.404529698133212e-07
kalman_ar1,5,1.395072928851735,18486,0.0,-0.027282155098824035,,
kalman_own_ridge,6,1.4368516855847975,18252,0.015856356122920134,0.0,-10.947273797026046,2.3327279167387727e-17
ridge_own_era5_flat12,6,1.442080136625834,18252,0.008681073131739936,-0.007290889938498024,-1.5657976624503207,0.12149673510355427
ridge_own_flat12,6,1.4437982657514423,18252,0.0063175033094411415,-0.009692541198457638,-2.48413888530764,0.01515841545157993
kalman_ar1,6,1.4483805890107582,18252,0.0,-0.016111831053903014,,
