challenger,reference,horizon,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
lstm_own_era5_s0,ridge_own_era5,4,0.8758300785529638,0.5291923059577877,1.2698378465642284,-3.9660760904781203,0.0001595751157965197
lstm_own_era5_s0,ridge_own_era5,5,0.32286369427020345,-0.07406440814422932,0.7495637861763881,-1.4430675585092616,0.15300553956615803
lstm_own_era5_s0,ridge_own_era5,6,0.06483137251730442,-0.3500723091278629,0.4900936635229754,-0.29191125263156725,0.7711395117347383
lstmres_corr_top1_s0,lstm_own_era5_s0,4,1.2556043997750899,0.9040991975673296,1.6759739105690323,-5.757446514476988,1.5628694030719478e-07
lstmres_corr_top1_s0,lstm_own_era5_s0,5,1.512280447138059,1.2464384256138357,1.8460354390086646,-7.638984750077962,4.6929677189651693e-11
lstmres_corr_top1_s0,lstm_own_era5_s0,6,1.8964770836922829,1.612355248401244,2.248201707481857,-9.643815360500778,6.936182003544024e-15
lstmres_corr_top1_s1,lstm_own_era5_s1,4,1.3687864170848107,0.9952812484330131,1.7848792710664463,-5.779128838819846,1.427705322257498e-07
lstmres_corr_top1_s1,lstm_own_era5_s1,5,1.2818379586472917,0.8886701974838932,1.6755844143661678,-5.047981502828036,2.8540519603448645e-06
lstmres_corr_top1_s1,lstm_own_era5_s1,6,1.9348779576435549,1.5444298830498702,2.3633187309818005,-6.086392561717224,4.2001553629840565e-08
lstmres_corr_top1_s0,ridge_corr_top1_era5,4,2.5159397228328606,1.9595089386094424,3.1468483505125553,-6.601223837932596,4.278814730798713e-09
lstmres_corr_top1_s0,ridge_corr_top1_era5,5,2.2369532131726433,1.7200823733175472,2.873863190403559,-5.851334221997925,1.0887365255093994e-07
lstmres_corr_top1_s0,ridge_corr_top1_era5,6,2.3377122025882935,1.7514783403505862,2.9868416095719006,-5.616626971476041,2.963241281040807e-07
lstm_corr_top1_era5_s0,lstm_own_era5_s0,4,-0.8893755750574384,-1.3024339483399117,-0.45672560592425243,3.6527413969023375,0.00046482808431578686
lstm_corr_top1_era5_s0,lstm_own_era5_s0,5,-0.5177471644812526,-0.8718623599722092,-0.12008023436027289,2.2672914789348604,0.026141008373566976
lstm_corr_top1_era5_s0,lstm_own_era5_s0,6,-0.27327050563037414,-0.948822211167788,0.3230103515666488,0.6070615436706365,0.5455960316875424
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,4,0.173372807957628,-0.019706611623865333,0.3728431088239766,-1.6232865245083132,0.10851212962544865
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,5,0.5577439140566964,0.30809269473187795,0.8003551512034169,-3.6018238125504887,0.000553847756736944
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,6,0.8288915311626566,0.5736164749243181,1.1353123529145037,-4.403274492692141,3.394232261430107e-05
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,4,0.571019642995374,0.041555037779510424,1.155537317380003,-1.6404237495973255,0.10489306958240077
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,5,0.7783690365092855,0.37230055200168616,1.2641938635230876,-2.821387638177742,0.0060623270621608435
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,6,1.0051417714518451,0.47698587765955863,1.540209647152138,-2.8854852901222947,0.005067545333896601
lstmres_own_s0,lstm_own_era5_s0,4,-2.02980805424533,-2.5820065900323557,-1.5757457956650942,6.58361646910309,4.618969171922605e-09
lstmres_own_s0,lstm_own_era5_s0,5,-1.7691216660563835,-2.312490054091991,-1.3586868389074496,5.239635152053598,1.3326694126266144e-06
lstmres_own_s0,lstm_own_era5_s0,6,-2.303519923219466,-2.865521740594717,-1.8675699413602123,5.8702262920144355,1.0387941111093223e-07
lstmres_own_s1,lstm_own_era5_s1,4,-2.2333861906380204,-2.898957647502603,-1.6268093549922826,5.513856582054953,4.280595782631628e-07
lstmres_own_s1,lstm_own_era5_s1,5,-1.9410168045706389,-2.451477610958335,-1.4927623918894768,5.737889992486384,1.7458385942919428e-07
lstmres_own_s1,lstm_own_era5_s1,6,-1.3282049742094015,-1.5642527151852,-1.1248415990984153,8.486793459394278,1.17170485550293e-12
lstmres_corr_top1_s0,lstmres_own_s0,4,3.2200515875455693,2.541583815792495,3.9934095647204413,-7.310709962958982,1.8918446418071415e-10
lstmres_corr_top1_s0,lstmres_own_s0,5,3.2243592746746708,2.6379091344622982,3.997925826133693,-6.497749753385601,6.993571311671452e-09
lstmres_corr_top1_s0,lstmres_own_s0,6,4.105427662766569,3.548530586209036,4.781160783446062,-8.169051261897302,4.804865086014389e-12
lstmres_corr_top1_s1,lstmres_own_s1,4,3.523479698702092,2.8461620327923267,4.384486727742836,-6.994378624223931,7.65990519189544e-10
lstmres_corr_top1_s1,lstmres_own_s1,5,3.1614897165450295,2.42573939109941,3.9596450849616582,-5.784618946608394,1.437797670629015e-07
lstmres_corr_top1_s1,lstmres_own_s1,6,3.220310606196475,2.747008183522325,3.764474961727128,-8.14759926834989,5.284818089880799e-12
