name,dm_stat,p,a_better,bh_threshold,significant,model,vs,horizon
C_South_Baffin_Island_Coast,-3.3180246469724124,0.0015566065989210866,True,0.017180616740088108,True,lstmres_corr_top1_ens,li_lstm_full,1
R_Orange_River,-3.312392953800361,0.001583220608371949,True,0.01762114537444934,True,lstmres_corr_top1_ens,li_lstm_full,1
E_Great_Victoria_Desert,-3.2428073872186394,0.0019495467311171622,True,0.018061674008810574,True,lstmres_corr_top1_ens,li_lstm_full,1
R_Magdalena_River,-3.1775243267083657,0.0023645402187881786,True,0.018502202643171806,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Gulf_of_Darien_Coast,-3.1760473602589667,0.002374825217042029,True,0.018942731277533043,True,lstmres_corr_top1_ens,li_lstm_full,1
R_Zambezi_River,-3.1752968882410366,0.002380067278174973,True,0.019383259911894275,True,lstmres_corr_top1_ens,li_lstm_full,1
E_Amu_Darya,-3.1682253800979487,0.002429998069408219,True,0.019823788546255508,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Uruguay_South_Brazil_Coast,-2.8881824220739163,0.005409786456184221,True,0.02026431718061674,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Japan,2.8636621953642685,0.005790349166457732,False,0.020704845814977973,True,lstmres_corr_top1_ens,li_lstm_full,1
C_North_Brazil_South_Atlantic_Coast,-2.832991024878375,0.006301203137660895,True,0.02114537444933921,True,lstmres_corr_top1_ens,li_lstm_full,1
C_North_Baffin_Island_Coast,2.7589030767715124,0.007711445643114304,False,0.021585903083700442,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Sakhalin_Island,2.670535565481921,0.009770217682889434,False,0.022026431718061675,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Papua_New_Guinea_Island,-2.6281254125922744,0.010926960188859337,True,0.022466960352422908,True,lstmres_corr_top1_ens,li_lstm_full,1
R_Lena_River,-2.616542887207348,0.011263885111164097,True,0.022907488986784144,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Great_Britain,2.5986102185790694,0.01180422234057785,False,0.023348017621145377,True,lstmres_corr_top1_ens,li_lstm_full,1
E_Great_Basin_Great_Salt_Lake,-2.594007136171376,0.01194667076033991,True,0.02378854625550661,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Banks_Island,2.5763422680093897,0.0125079554506731,False,0.024229074889867842,True,lstmres_corr_top1_ens,li_lstm_full,1
E_Lower_Lake_Chad,-2.563561695807156,0.012928861740926707,True,0.024669603524229075,True,lstmres_corr_top1_ens,li_lstm_full,1
C_East_Nile_Delta,2.5517162174813772,0.013330403065633293,False,0.02511013215859031,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Severnaya_Zemlya,-2.508268765672952,0.014901775746166638,True,0.02555066079295154,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Northwest_Hudson_Bay_Coast,-2.503743557806905,0.015074710695538606,True,0.02599118942731278,True,lstmres_corr_top1_ens,li_lstm_full,1
C_West_Nile_Delta,2.4994254265341644,0.015241419998354624,False,0.02643171806167401,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,2.4790312402891446,0.01605148618635872,False,0.026872246696035242,True,lstmres_corr_top1_ens,li_lstm_full,1
C_West_Barents_Sea_Coast,2.463442460913525,0.016696633726746627,False,0.02731277533039648,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Carribean_Coast,-2.425717152084029,0.018355539237692554,True,0.02775330396475771,True,lstmres_corr_top1_ens,li_lstm_full,1
E_Northern_Kordofan,2.4185339560061037,0.01868768552612111,False,0.028193832599118947,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Yenisey_Gulf_Coast,-2.400399742700458,0.019550310396707356,True,0.028634361233480177,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Olenyok_Delta,2.3975207001773686,0.01969049738375625,False,0.02907488986784141,True,lstmres_corr_top1_ens,li_lstm_full,1
C_Iceland,-2.3970694374754675,0.019712551793971647,True,0.029515418502202646,True,lstmres_corr_top1_ens,li_lstm_full,1
