split,cut,stratum,n_basins,skill_pct,dm_stat,p,n_rows
area_km2,40000,sub_resolution,15,0.3238188974075795,-0.8656491238870186,0.3892082501736278,1245
area_km2,40000,resolved,219,0.3058748289758162,-1.2034610122986726,0.23226085935760818,18177
area_km2,60000,sub_resolution,23,0.9293453040071564,-2.989528466375919,0.0036870618261906816,1909
area_km2,60000,resolved,211,0.20739812224692677,-0.8176710480561413,0.4159146260626965,17513
area_km2,80000,sub_resolution,29,1.085037574119141,-3.652406605060765,0.0004564293895972925,2407
area_km2,80000,resolved,205,0.13472347901081205,-0.514516335202733,0.6082750496364593,17015
area_km2,90000,sub_resolution,35,1.0333750433871525,-3.5444226684817797,0.000652959001436621,2905
area_km2,90000,resolved,199,0.09933834647879447,-0.36615237475931384,0.7151943687967318,16517
area_km2,100000,sub_resolution,41,1.3352832658418357,-4.423649753370061,2.958134893591756e-05,3403
area_km2,100000,resolved,193,-0.04541454577435822,0.1713505012991544,0.8643703141515103,16019
area_km2,120000,sub_resolution,54,1.193531882483645,-4.454435534843302,2.6362250305868608e-05,4482
area_km2,120000,resolved,180,-0.14296677612759545,0.5127632896434628,0.6094954843971887,14940
area_km2,150000,sub_resolution,58,1.221457348007926,-4.1504304498086855,8.067727125634069e-05,4814
area_km2,150000,resolved,176,-0.22797581509745868,0.790530338976995,0.43149849395616846,14608
area_km2,200000,sub_resolution,70,0.9340857754050358,-3.4585608931309912,0.0008639177117196623,5810
area_km2,200000,resolved,164,-0.17719511501037566,0.6146146976051873,0.54051092156798,13612
