arm,variable,skill_vs_own_pct,dm_p_vs_own,unique_contribution_pct,dm_p_full_vs_wo,solo_skill_pct,solo_dm_p
full,,4.620579577728757,9.741226484922378e-05,,,,
lovo,precip_cm,4.048778077991166,8.594989071901647e-10,0.5718014997375906,0.5162210410649342,1.6430142419215032,0.22467234417217613
lovo,evap_cm,3.175353978541129,0.035178112468179736,1.4452255991876277,0.0021700687590456504,-1.190335812672516,0.04188494885170712
lovo,runoff_cm,4.313844401174993,0.0002733778481187734,0.30673517655376337,0.0020729550180095388,0.23388156254806614,0.3730838352812537
lovo,surf_runoff_cm,4.6060749784797235,9.126584636598316e-05,0.014504599249033134,0.5311245181825908,0.9745853560735651,0.0021847890909800793
lovo,subsurf_runoff_cm,4.620628606536837,9.333664828491596e-05,-4.902880808010934e-05,0.9992543913639487,0.14308869281836056,0.5638220586194285
lovo,swvl1,4.785296090652924,2.713860650365709e-05,-0.16471651292416745,0.03667353567135046,2.2904088508696074,1.4025423446738744e-08
lovo,swvl2,4.468129158909228,0.00013066047477445732,0.15245041881952837,0.03842121991589783,2.220048501232541,1.330930962814397e-07
lovo,swvl3,4.447662227287985,0.0002141003931093552,0.1729173504407715,0.004226881744198912,0.7073921784063741,0.007511286113184217
lovo,swvl4,4.1963997024145545,0.0005958921711153362,0.4241798753142021,0.006940562945205683,0.33708587713782157,0.02331001228816951
lovo,t2m_c,4.70220581130717,6.607895723696736e-05,-0.08162623357841348,0.0016561589793907473,0.2469314119543764,0.14253672488390534
lovo,swe_cm,4.562401734795962,9.433474488683602e-05,0.05817784293279438,0.6461838909762841,0.9652665177835362,0.0003462157424655614
