basin_idx,id,name,prefix,centroid_lat,centroid_lon,area_km2,n_cells,continent,exclude_reason,below_resolution,glaciated,n_tiles,n_eff_tiles,contamination,contamination_all,max_tile_fill_land,mascon_area_km2,area_ratio
27,1030000010,C_West_Red_Sea_Coast,C,20.37064552307129,36.37029266357422,243098.421875,336,africa,keep,False,False,36,26.730746320386817,0.22412129470139133,0.22412129470139133,1.0,243098.41723632812,0.9999999809185438
28,1030003990,C_South_Gulf_of_Aden_Coast,C,8.431546211242676,46.7910041809082,532753.375,696,africa,keep,False,False,63,50.00877889181028,0.051745551375776966,0.051745551375776966,1.0,532753.3604736328,0.9999999727334112
29,1030008100,R_Shebelli_Juba_Rivers,R,4.114995956420898,41.25597381591797,807317.9375,1046,africa,keep,False,False,87,74.36748062375433,0.06680882645309708,0.06680882645309708,1.0,807317.9295654297,0.9999999901716908
30,1030008110,C_East_Central_Africa_Coast,C,-8.842026710510254,37.68485641479492,1026780.125,1347,africa,keep,False,False,108,93.76056449704517,0.05259242734086571,0.05259242734086571,1.0,1026780.123840332,0.9999999988705781
31,1030011530,C_South_Zambezia_Coast,C,-18.405845642089844,36.37495422363281,5879.02783203125,8,africa,keep,True,False,2,1.2805014183757402,0.575411266916415,0.575411266916415,0.43771682704179593,5879.02783203125,1.0
32,1030011660,R_Zambezi_River,R,-14.893959999084473,27.693653106689453,1376693.75,1841,africa,keep,False,False,143,124.7893957678318,0.07925489254084947,0.07925489254084947,1.0,1376693.765625,1.0000000113496557
33,1030011670,C_Indian_Ocean_Africa_Coast,C,-20.424480438232422,33.196754455566406,243745.15625,336,africa,keep,False,False,32,24.88516815636156,0.13820967322895122,0.13820967322895122,1.0,243745.15838623047,1.0000000087641967
34,1030012590,R_Limpopo_River,R,-23.307178497314453,29.50295639038086,413093.1875,581,africa,keep,False,False,49,39.87479572125715,0.12435525414587671,0.12435525414587671,1.0,413093.21282958984,1.0000000613168907
35,1030012600,C_South_Africa_South_Coast,C,-30.293731689453125,27.534839630126953,388384.71875,582,africa,keep,False,False,44,35.702554841632136,0.11418400380448473,0.11418400380448473,1.0,388384.71533203125,0.9999999911995282
36,1030015030,C_South_Africa_West_Coast,C,-31.5205020904541,18.847549438476562,109535.5078125,166,africa,keep,False,False,17,12.13300687777228,0.1776719167777577,0.1776719167777577,1.0,109535.49084472656,0.9999998450933969
37,1030015850,R_Orange_River,R,-27.33736228942871,22.437862396240234,983929.4375,1432,africa,keep,False,False,101,87.64672815477826,0.08627920795188147,0.08627920795188147,1.0,983929.4053955078,0.9999999673711437
38,1030015860,C_Namibia_Coast,C,-22.32147979736328,15.058770179748535,268245.71875,375,africa,keep,False,False,36,26.924606076500307,0.12674925838118262,0.12674925838118262,1.0,268245.7072753906,0.9999999572235134
39,1030018110,C_Angola_Coast,C,-12.190860748291016,14.83316707611084,521596.40625,690,africa,keep,False,False,60,48.79806170848847,0.08762110528377397,0.08762110528377397,1.0,521596.35272216797,0.9999998973769156
40,1030020040,R_Congo_River,R,-2.5096843242645264,22.909061431884766,3715698.25,4823,africa,keep,False,False,359,330.3427981001308,0.047089923952813736,0.047089923952813736,1.0,3715697.9489746094,0.9999999189855122
41,1030020050,C_Gulf_of_Guinea_Coast,C,1.326582431793213,11.635783195495605,700958.5,907,africa,keep,False,False,80,66.63841226562596,0.08263902959849617,0.08263902959849617,1.0,700958.469909668,0.9999999570725913
42,1030021940,C_Nigerian_Delta,C,5.011028289794922,7.079521179199219,25460.255859375,33,africa,keep,True,False,5,3.230092846001684,0.32659734810885277,0.32659734810885277,1.0,25460.25408935547,0.9999999304791145
43,1030022420,R_Niger_River,R,13.760977745056152,3.548226833343506,2137806.0,2850,africa,keep,False,False,201,170.71312092223152,0.08950290549535393,0.08950290549535393,1.0,2137806.168273926,1.0000000787133752
44,1030022430,C_Bight_of_Benin_Coast,C,7.379095077514648,3.409212112426758,209642.9375,273,africa,keep,False,False,23,18.153585945348777,0.13537127424673057,0.13537127424673057,1.0,209642.90991210938,0.9999998684053422
45,1030023300,R_Volta_River,R,10.47368335723877,-1.4132455587387085,410240.78125,539,africa,keep,False,False,39,33.57316134174921,0.1426200761499157,0.1426200761499157,1.0,410240.8052368164,1.0000000584700925
46,1030023310,C_West_Africa_Coast,C,8.892885208129883,-8.912860870361328,855164.875,1119,africa,keep,False,False,86,75.95553334353794,0.0639575868495937,0.0639575868495937,1.0,855164.9103393555,1.0000000413246106
47,1030027410,R_Senegal_River,R,15.055135726928711,-10.95368480682373,457495.84375,612,africa,keep,False,False,52,41.63149212529403,0.13954836184807562,0.13954836184807562,1.0,457495.8302001953,0.9999999703826715
48,1030027430,C_North_West_Africa_Coast,C,25.009010314941406,-11.437515258789062,832119.0625,1193,africa,keep,False,False,87,72.16560366945556,0.0816659355075262,0.0816659355075262,1.0,832119.0982055664,1.0000000429092037
49,1030029810,C_Southwest_Mediterranean_Coast,C,35.3536376953125,2.8848717212677,296790.0625,470,africa,keep,False,False,38,29.550868524937844,0.1323510703184256,0.1323510703184256,1.0,296790.0872192383,1.000000083288632
50,1030031860,C_South_Mediterranean_Coast,C,30.946731567382812,16.09575080871582,282865.53125,426,africa,keep,False,False,36,28.942635995942656,0.17310940404530556,0.17310940404530556,1.0,282865.52947998047,0.9999999937425408
51,1030034170,C_West_Nile_Delta,C,30.55795669555664,30.14198875427246,20673.873046875,31,africa,keep,True,False,6,3.3476519259011814,0.3901420323532999,0.3901420323532999,1.0,20673.873107910156,1.0000000029522846
52,1030034260,R_Nile_River,R,11.534171104431152,31.847883224487305,3062504.25,4071,africa,keep,False,False,304,274.7686481270678,0.061062343604612226,0.061062343604612226,1.0,3062504.2338867188,0.9999999947385277
53,1030034270,C_East_Nile_Delta,C,30.812740325927734,31.45334815979004,19289.41015625,29,africa,keep,True,False,3,2.5936150342105053,0.4565370761238847,0.4565370761238847,0.7494747980616382,19289.40789794922,0.9999998829253584
54,1030035180,C_Madagascar,C,-19.17742919921875,46.77520751953125,611052.1875,837,africa,keep,False,False,60,54.219721798778316,0.0,0.0,1.0,611052.155090332,0.9999999469608838
55,1030040190,E_Lower_Lake_Chad,E,11.152617454528809,16.887977600097656,1125897.125,1483,africa,keep,False,False,120,101.6724276572774,0.10126878258512717,0.10126878258512717,1.0,1125897.2106323242,1.0000000760569703
56,1030040200,E_South_Interior_Africa,E,-19.246938705444336,20.512516021728516,865424.625,1185,africa,keep,False,False,97,81.49752512108498,0.1070248324249333,0.1070248324249333,1.0,865424.6998901367,1.0000000865357128
57,1030040210,E_Upper_Lake_Chad,E,18.530920028686523,15.589140892028809,1353182.375,1845,africa,keep,False,False,135,117.84028198670703,0.08408872250513343,0.08408872250513343,1.0,1353182.4104003906,1.0000000261608422
58,1030040220,E_Libyian_Desert,E,26.2124080657959,17.569135665893555,1124732.75,1621,africa,keep,False,False,114,94.98267145330809,0.07870879192923722,0.07870879192923722,1.0,1124732.6932373047,0.999999949532282
59,1030040250,E_Egyptian_Western_Desert,E,25.169008255004883,26.742637634277344,927035.0,1325,africa,keep,False,False,98,84.02038085833586,0.08755122441535719,0.08755122441535719,1.0,927034.9431152344,0.9999999386379526
60,1030040260,E_Rift_Valley,E,5.223244667053223,37.59090042114258,578629.4375,754,africa,keep,False,False,78,60.94539449739814,0.18761299382824928,0.18761299382824928,1.0,578629.4155273438,0.9999999620263768
61,1030040280,E_Northern_Kordofan,E,17.22397804260254,25.146631240844727,254361.15625,344,africa,keep,False,False,32,25.065423387400482,0.13952883612500505,0.13952883612500505,1.0,254361.14587402344,0.9999999592077001
62,1030040300,E_Saharan_and_Algerian_Atlas,E,30.64778709411621,-1.768595814704895,788742.8125,1187,africa,keep,False,False,94,70.84547326727312,0.16009943101819082,0.16009943101819082,1.0,788742.8723754883,1.000000075912563
63,1030040310,E_Sahara,E,24.56203269958496,-0.10175219923257828,2437994.0,3474,africa,keep,False,False,206,180.42206504376938,0.06459442914963036,0.06459442914963036,1.0,2437994.1633911133,1.000000067018669
64,1030040370,E_Lake_Rukwa_Basin,E,-7.73997163772583,32.36717224121094,77505.734375,101,africa,keep,True,False,13,8.757173613077454,0.23710282027640572,0.23710282027640572,1.0,77505.73126220703,0.9999999598379011
65,2030000010,C_East_Mediterranean_Coast,C,36.52043533325195,32.11308670043945,330882.1875,533,asia,keep,False,False,39,31.72835327516785,0.16963079768563338,0.16963079768563338,1.0,330882.2049560547,1.0000000527561028
66,2030003440,C_South_Black_Sea_Coast,C,40.133785247802734,35.27177429199219,359180.5,607,europe,keep,False,False,41,30.958703085809606,0.11023367457589958,0.11023367457589958,1.0,359180.4600830078,0.999999888866483
67,2030005690,C_East_Azov_Sea_Northeast_Black_Sea_Coast,C,45.121726989746094,39.69782257080078,113622.0,208,europe,keep,False,False,15,11.461055860488566,0.20257174331998445,0.20257174331998445,1.0,113621.99884033203,0.9999999897936318
68,2030006590,R_Don_River,R,49.751434326171875,41.115577697753906,439711.84375,881,europe,keep,False,False,50,41.50535842654971,0.13665386941270632,0.13665386941270632,1.0,439711.83865356445,0.9999999884096014
69,2030006600,C_Crimea_West_Azov_Sea_Coast,C,46.28525924682617,35.1673583984375,94162.234375,176,europe,keep,False,False,16,11.632051362603857,0.2794741438185471,0.2794741438185471,1.0,94162.23248291016,0.9999999799060647
70,2030007930,R_Dnieper_River,R,51.23007583618164,31.480995178222656,510859.21875,1056,europe,keep,False,False,60,48.089625556502924,0.13304062164496702,0.13304062164496702,1.0,510859.2255859375,1.000000013381255
71,2030007940,C_Greater_Dniester_Basin,C,48.228153228759766,28.64737892150879,165012.75,320,europe,keep,False,False,23,16.51223952837348,0.18327466980705834,0.18327466980705834,1.0,165012.75805664062,1.0000000488243521
72,2030008490,R_Danube_River,R,46.304603576660156,20.33920669555664,800229.75,1498,europe,keep,False,False,88,73.96414557246308,0.1026499531413062,0.1026499531413062,1.0,800229.7272338867,0.9999999715505288
73,2030008500,C_West_Black_Sea_Coast,C,43.19564437866211,27.758071899414062,27089.95703125,48,europe,keep,True,False,9,6.570796742812211,0.5041162870928927,0.5041162870928927,1.0,27089.95751953125,1.000000018024438
74,2030009230,C_Balkan_Peninsula_and_Adriatic_Coast,C,41.0028190612793,22.09043312072754,328025.6875,562,europe,keep,False,False,44,34.0797272314927,0.11638163660114946,0.11638163660114946,1.0,328025.69079589844,1.000000010047684
76,2030012730,C_Po_River_and_East_Italy_Coast,C,44.14605712890625,12.010080337524414,180304.53125,325,europe,keep,False,False,29,21.000082338287992,0.1893729801185574,0.1893729801185574,1.0,180304.52850341797,0.9999999847669828
77,2030014550,C_West_Italy_Coast,C,41.67490005493164,13.229246139526367,102275.0703125,177,europe,keep,False,False,16,12.062509908122799,0.20232913494981572,0.20232913494981572,1.0,102275.07373046875,1.0000000334193733
78,2030016230,C_Northwest_Mediterranean_Coast,C,42.14854431152344,1.569547176361084,335345.25,586,europe,keep,False,False,44,34.813894670521314,0.16858527084669764,0.16858527084669764,1.0,335345.26251220703,1.0000000373114186
