component,challenger,reference,horizon,rmse_a,rmse_b,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
noise_filtering_term,kalman_ar1,kalman_r0,1,1.048995163580747,1.0782599049027535,5.3544805358560215,4.263163854651616,6.487624666244904,-9.000532404252521,7.179407678497417e-14
noise_filtering_term,kalman_ar1,kalman_r0,2,1.1953584266583883,1.2574547820749666,9.632651178781826,8.298353704872875,11.003707772683676,-13.557108404661047,1.5457983747061522e-22
noise_filtering_term,kalman_ar1,kalman_r0,3,1.2733980750571514,1.3548839561671218,11.666756445196015,10.27696385206552,13.162289804356538,-13.859141792695532,5.734154706702727e-23
noise_filtering_term,kalman_ar1,kalman_r0,4,1.3362993470513527,1.4284072879561238,12.480788213651184,11.008929588221108,14.216998780848394,-14.18894546770964,1.9729231987633025e-23
noise_filtering_term,kalman_ar1,kalman_r0,5,1.395072928851735,1.4926994692011466,12.652784272321927,11.388914187150863,14.457576347754605,-14.372320057106682,1.2610509484702302e-23
noise_filtering_term,kalman_ar1,kalman_r0,6,1.4483805890107582,1.5463697617927838,12.271905951826135,11.088489328761412,13.977192041143754,-14.943961308856604,1.8303139769378737e-24
rho_estimation_term,kalman_r0,damped_persistence_reg,1,1.0782599049027535,1.0831452242664725,0.9000274580402756,0.49112880380868557,1.3404224587963076,-4.592545556502304,1.564163599585748e-05
rho_estimation_term,kalman_r0,damped_persistence_reg,2,1.2574547820749666,1.251639023756328,-0.9314618207628467,-1.6350295977189087,-0.3111313375439193,3.155873952665406,0.0022469857816842936
rho_estimation_term,kalman_r0,damped_persistence_reg,3,1.3548839561671218,1.3107963071227158,-6.839976017329907,-8.008775817837948,-5.7451234678786465,11.593544195086437,8.339160572090214e-19
rho_estimation_term,kalman_r0,damped_persistence_reg,4,1.4284072879561238,1.3572963220338743,-10.752814168122482,-12.46151893716439,-9.25966175931504,12.426676627181207,2.84062823926054e-20
rho_estimation_term,kalman_r0,damped_persistence_reg,5,1.4926994692011466,1.4131989117740524,-11.567619856455735,-13.713745852146362,-10.017647302340652,12.452203108236276,3.1690928300398036e-20
rho_estimation_term,kalman_r0,damped_persistence_reg,6,1.5463697617927838,1.4754264132800077,-9.847857199307608,-11.35607886291291,-8.730008010863264,13.011993309266444,3.925708132756853e-21
full_margin,kalman_ar1,damped_persistence_reg,1,1.048995163580747,1.0831452242664725,6.206316198838168,5.0887323251155365,7.421040245910117,-9.929571381627419,1.028557773169208e-15
full_margin,kalman_ar1,damped_persistence_reg,2,1.1953584266583883,1.251639023756328,8.790913826076597,7.407199589695354,10.144485341131364,-11.614556074524188,6.33828330177373e-19
full_margin,kalman_ar1,damped_persistence_reg,3,1.2733980750571514,1.3107963071227158,5.624783770717801,4.80277009672563,6.490629512650467,-11.682404541237714,5.664523568455729e-19
full_margin,kalman_ar1,damped_persistence_reg,4,1.3362993470513527,1.3572963220338743,3.070010008859536,2.276834899029089,3.927536965557097,-7.758821189663757,2.5680437700158505e-11
full_margin,kalman_ar1,damped_persistence_reg,5,1.395072928851735,1.4131989117740524,2.548790401745804,1.7355117768359396,3.4608549049801978,-5.370600885525762,7.866022927196087e-07
full_margin,kalman_ar1,damped_persistence_reg,6,1.4483805890107582,1.4754264132800077,3.632568526287694,2.7436441995143412,4.797557944114061,-6.799362788209047,1.9887363373338423e-09
