continent,n_basins,skill_pct,dm_p
north_america,46,7.050328684891472,0.00010965608979569072
europe,30,6.860814067096799,0.00018065037855408592
asia,79,5.985359420980918,3.537847035409875e-05
australia,14,3.388913863761467,0.05275577670558806
south_america,27,1.4747428375120664,0.6628078105452203
africa,38,-0.3867333382309601,0.8746595318831788
