horizon,real_rmse,own_ridge_rmse,surr_mean,surr_min,beats_n_of,p_rank,skill_vs_own,surr_skill_vs_own_mean
1,1.048279627108633,1.0498958690826776,1.049880039570855,1.049038454649618,99/99,0.01,0.003076491631817002,3.0107905812332864e-05
2,1.2019491292838866,1.201365758370325,1.2013729026803601,1.1994129958318023,13/99,0.87,-0.0009714153228821409,-1.2066015242188235e-05
3,1.271830755106049,1.270614535742653,1.2706371426951888,1.2682355859650607,1/99,0.99,-0.0019152959541932635,-3.581667581429394e-05
4,1.3228023520395047,1.3204410384757215,1.3204160845004134,1.317683295438105,0/99,1.0,-0.0035797507584076627,3.749210518604374e-05
5,1.3788220703437757,1.3764233749233163,1.3763416601731076,1.3730284519439906,0/99,1.0,-0.003488440503915946,0.00011832089493850662
6,1.439154384292396,1.4368516855847975,1.4367031731455235,1.432443239226027,0/99,1.0,-0.003207768600406835,0.00020616248974900418
