name,fold,n_train_obs,n_fo_train,rho,q,r_grace,r_fo,r_ratio,r_fo_fallback,r_grace_at_boundary,r_fo_at_boundary,two_converged,rho_one,q_one,r_one,r_one_at_boundary,one_converged,loglik_one,loglik_two,lr_stat,lr_p,rho_two_raw,q_two_raw,r_grace_raw,r_fo_raw,r_ratio_raw,loglik_two_raw,lr_stat_raw,lr_p_raw
C_Aleutians_South_Alaska_Coast,f1,173,10,0.9235896760498767,0.14948632360088673,0.014555664879367575,0.014555664879367575,1.0,True,False,False,True,0.9235896760498767,0.14948632360088673,0.014555664879367575,False,True,-102.0009683256637,-102.0009683256637,0.0,1.0,0.9235031156887324,0.14950883574617901,0.013896251873195343,0.026196157582478525,1.8851239759843896,-101.96366833957325,0.07459997218091985,0.7847533212659118
C_Amazon_River_Delta,f1,173,10,0.7849696617235061,0.3917673373563951,3.308588762829576e-08,3.308588762829576e-08,1.0,True,True,False,True,0.7849696617235061,0.3917673373563951,3.308588762829576e-08,True,True,-169.98305295587681,-169.98305295587681,0.0,1.0,0.799896473336119,0.3519175416438186,2.3342664573663835e-08,0.6012384741861375,25757062.66475164,-166.21729714052185,7.531511630709929,0.0060629015076647755
C_Angola_Coast,f1,173,10,0.8338766242451253,0.25641419120063247,0.15180686405639882,0.15180686405639882,1.0,True,False,False,True,0.8338766242451253,0.25641419120063247,0.15180686405639882,False,True,-185.78463598724787,-185.78463598724787,0.0,1.0,0.8311962145837986,0.26410027647189,0.15201100298400383,0.043480943845729605,0.286038135346723,-185.5231186468322,0.5230346808313584,0.4695500365358477
C_Balkan_Peninsula_and_Adriatic_Coast,f1,173,10,0.8344708410878153,0.2523466253415399,0.10263371275748652,0.10263371275748652,1.0,True,False,False,True,0.8344708410878153,0.2523466253415399,0.10263371275748652,False,True,-172.2505748580809,-172.2505748580809,0.0,1.0,0.8355645313972471,0.24904372618095288,0.11020915244558219,0.009919051919319405,0.09000207060132434,-171.71906482575366,1.063020064654495,0.30252738758612974
C_Banks_Island,f1,173,10,0.9319551442400038,0.037001797657885915,0.7324556276070836,0.7324556276070836,1.0,True,False,False,True,0.9319551442400038,0.037001797657885915,0.7324556276070836,False,True,-234.29036136217422,-234.29036136217422,0.0,1.0,0.9263851377434322,0.03752598641892459,0.6704362875268416,1.8075204137554177,2.6960360699196966,-231.7453244156644,5.090073893019621,0.024063166329711
C_Beaufort_Sea_Coast,f1,173,10,0.8584808856561267,0.12423314161455866,0.48541371452488175,0.48541371452488175,1.0,True,False,False,True,0.8584808856561267,0.12423314161455866,0.48541371452488175,False,True,-219.69445248438475,-219.69445248438475,0.0,1.0,0.8540677815336477,0.12894093672423781,0.49650310660214503,0.21722579899323027,0.4375114598573829,-219.0615445922964,1.2658157841767093,0.2605531060422038
C_Bight_of_Benin_Coast,f1,173,10,0.9230323391474985,0.1233533841199342,0.16274630605441323,0.16274630605441323,1.0,True,False,False,True,0.9230323391474985,0.1233533841199342,0.16274630605441323,False,True,-161.53722190877616,-161.53722190877616,0.0,1.0,0.9231228172107575,0.12271335580043775,0.17274450158973803,0.005427932126907708,0.0314217360144918,-159.72193923998145,3.6305653375894167,0.05672754382118268
C_Bismark_Sea_Islands,f1,173,10,0.7422731252734763,0.4995896775155064,0.010855761806530924,0.010855761806530924,1.0,True,False,False,True,0.7422731252734763,0.4995896775155064,0.010855761806530924,False,True,-193.11220082496132,-193.11220082496132,0.0,1.0,0.614452670462688,0.38703047479981506,7.311085518193636e-06,5.268894969695499,720672.04747966,-179.96089725859747,26.3026071327277,2.9189437370275045e-07
C_Borneo,f1,173,10,0.6414183856466456,0.5756874821226062,9.141804975782956e-08,9.141804975782956e-08,1.0,True,True,False,True,0.6414183856466456,0.5756874821226062,9.141804975782956e-08,True,True,-201.45463840874103,-201.45463840874103,0.0,1.0,0.6433886965871609,0.5718946123253713,7.480969284211974e-07,0.04970562156972742,66442.75585334566,-201.41295405896665,0.08336869954877102,0.7727831174165086
C_Buor_Khaya_Gulf_Coast,f1,173,10,0.9518604293712682,0.029510125918050266,0.6902526286665052,0.6902526286665052,1.0,True,False,False,True,0.9518604293712682,0.029510125918050266,0.6902526286665052,False,True,-228.92998127864072,-228.92998127864072,0.0,1.0,0.9539292107532319,0.02748157637578456,0.7204214704240511,0.24820094055117817,0.34452185386019,-227.29404110431872,3.271880348644004,0.07047680033570891
