name,dm_stat,p,a_better,bh_threshold,significant
C_Southwest_Hudson_Bay_Coast,-4.120408087517498,8.98851157190195e-05,True,0.0004273504273504274,True
E_Lower_Lake_Chad,3.9361798941346624,0.00017275134826519016,False,0.0008547008547008548,True
C_East_Barents_Sea_Coast,-3.7535292373151052,0.00032447286441912067,True,0.001282051282051282,True
C_North_Argentina_South_Atlantic_Coast,-3.4313346552457986,0.0009432736593971004,True,0.0017094017094017096,True
C_Central_America_Gulf_of_Mexico_Caribbean_Coast,-3.3971841579968043,0.0010525471504813306,True,0.002136752136752137,True
R_Yangtze_River,-3.3757949059641956,0.0011269489357537941,True,0.002564102564102564,True
C_East_Ob_Bay_Coast,-3.35145659759292,0.0012176227234272736,True,0.0029914529914529917,True
C_Southwest_Mediterranean_Coast,-3.3242432912147226,0.0013271160376287273,True,0.0034188034188034192,True
C_Northwest_Hudson_Bay_Coast,-3.262633354512818,0.0016101080504596788,True,0.0038461538461538464,True
C_South_Gulf_of_Aden_Coast,-3.204829547536922,0.0019261970552070812,True,0.004273504273504274,True
C_South_Hudson_Strait_Ungava_Bay_Coast,-3.102708705162539,0.002630461925103442,True,0.0047008547008547015,True
R_Danube_River,-3.039648029511117,0.0031781758124913313,True,0.005128205128205128,True
C_La_Plata_Delta,-3.0105411527441857,0.003465156715560084,True,0.005555555555555556,True
C_Gydan_Bay_Coast,-2.954386337887657,0.004087788815044391,True,0.005982905982905983,True
C_Po_River_and_East_Italy_Coast,-2.920269290450226,0.00451498822140136,True,0.00641025641025641,True
R_Colorado_River_of_the_West_North_America,-2.848095754988601,0.005557604775521542,True,0.0068376068376068385,True
E_Amu_Darya,-2.846133183630599,0.005588824252356065,True,0.007264957264957266,True
C_West_Continental_Europe,-2.8365774435180056,0.005743146387537271,True,0.007692307692307693,True
C_Balkan_Peninsula_and_Adriatic_Coast,-2.827551765729897,0.005892492076791884,True,0.00811965811965812,True
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,-2.824269535427598,0.005947680334126209,True,0.008547008547008548,True
C_Churchill_Seal_Rivers,-2.750111094187851,0.007328081778843541,True,0.008974358974358975,True
C_Sulawesi,-2.7386417597196195,0.007565997940153012,True,0.009401709401709403,True
R_Congo_River,2.6774758083466317,0.008958078568409326,False,0.009829059829059829,True
C_Northeast_South_America_Coast,-2.5611673664129064,0.012263974518001658,True,0.010256410256410256,False
C_North_St_Lawrence_Seaway_Coast,-2.55756863975892,0.012381909120584112,True,0.010683760683760684,False
C_Kamchatka_Peninsula,-2.5503165575429887,0.012622681124331191,True,0.011111111111111112,False
C_South_Alaska_Coast_Frazer_River,2.5263291224857802,0.013449432155222287,False,0.011538461538461539,False
C_Nusa_Tenggara,-2.5226756394861694,0.013579542830168757,True,0.011965811965811967,False
E_Syr_Darya,-2.5112910761750604,0.013992271729072105,True,0.012393162393162394,False
C_Halmahera_Islands,-2.4971256332763607,0.01452154160935202,True,0.01282051282051282,False
C_Labrador_Sea_Coast,-2.460081473883489,0.015991596919558253,True,0.01324786324786325,False
E_Central_Iran,-2.454021133630335,0.01624438872237127,True,0.013675213675213677,False
E_Northern_Kordofan,-2.4341494597091633,0.017098558192265686,True,0.014102564102564103,False
C_East_Hudson_Bay_Coast,-2.4081158507319063,0.018278222119571166,True,0.014529914529914532,False
R_Murray_Darling_River,-2.371444974086895,0.02006291152093083,True,0.014957264957264958,False
R_Orange_River,-2.347408511911722,0.021315179362024837,True,0.015384615384615385,False
C_North_Gulf_of_Oman_Coast,-2.340191357727462,0.02170448120694651,True,0.01581196581196581,False
C_Japan,2.335639168881904,0.02195326067812225,False,0.01623931623931624,False
C_West_Italy_Coast,-2.329601479442805,0.022287119472051073,True,0.016666666666666666,False
C_North_West_Africa_Coast,-2.3271533375471263,0.02242376741343841,True,0.017094017094017096,False
C_Yamal_Peninsula,-2.3153977277898528,0.02309031385590608,True,0.01752136752136752,False
C_Java,-2.2927612099019967,0.02442332304077786,True,0.01794871794871795,False
C_Iberian_Atlantic_Coast,-2.2840401177888263,0.024954737201984635,True,0.018376068376068377,False
C_East_Azov_Sea_Northeast_Black_Sea_Coast,-2.273837619303468,0.025589338902298957,True,0.018803418803418806,False
C_South_Baltic_Coast,-2.2734934538376788,0.025610991888728587,True,0.019230769230769232,False
R_Mackenzie_River,-2.248163934646481,0.02724954610111519,True,0.019658119658119658,False
C_Angola_Coast,-2.242358042469428,0.02763785799249128,True,0.020085470085470087,False
C_North_Brazil_South_Atlantic_Coast,2.2290026466897865,0.02854959532267507,False,0.020512820512820513,False
E_Badain_Jaran_Desert,-2.2219259048021223,0.029043316670880864,True,0.020940170940170942,False
E_Egyptian_Western_Desert,2.2100546997174426,0.029888348797160503,False,0.021367521367521368,False
C_Malaysian_Peninsula_Coast,2.17566474128554,0.032458964765344975,False,0.021794871794871797,False
R_Indus_River,-2.1727168323423873,0.03268804052274766,True,0.022222222222222223,False
E_East_Gobi_Desert,-2.1167181509001742,0.03731511177197784,True,0.022649572649572652,False
R_Yenisey_River,-2.107137146229343,0.038161219301409414,True,0.023076923076923078,False
C_Victoria_Island,-2.0967600285292414,0.03909632340690764,True,0.023504273504273504,False
