model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
gbm_own_era5,3,1.2730253735716412,18954,2.126310037755964,0.03656026071834369,,,,-2.212147733161054,0.02980823446762224,-0.003798358822613146
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,-0.004386205556974998
gbm_own,3,1.2803779710797298,18954,7.209148140609173,2.805021752537027e-10,,,,,,-0.015427096586202449
gbm_corr_top1,3,1.2812823547667187,18954,6.965076322703288,8.280464839806879e-10,,,,,,-0.016862079148212583
mlp_corr_top1_era5_s0,3,1.2818330351356235,18954,5.179202111520478,1.6268236151773908e-06,20.0,10.0,0.5238095238095238,-0.5435500639669018,0.5882626362596399,-0.017736338153256703
mlp_corr_top1_s2,3,1.2818507931949734,18954,6.8006376499849965,1.7096040611051096e-09,,,,,,-0.01776453706370562
mlp_corr_top1_era5_s2,3,1.2825769251246533,18954,4.30300220778313,4.7301992742936556e-05,20.0,7.0,0.6666666666666666,0.1325403967407174,0.8948896771339011,-0.018917932843106833
mlp_own_s0,3,1.2836408378471402,18954,5.917127060472296,7.75782653289252e-08,,,,,,-0.020609042892840046
mlp_corr_top1_s0,3,1.2846619429221213,18954,5.947967094454479,6.80928253829644e-08,,,,,,-0.022233428070771666
mlp_own_era5_s1,3,1.284805199520659,18954,3.7670776737191334,0.0003142560053855959,,,,-0.15575134041359842,0.8766213672029607,-0.02246142556023556
mlp_own_s2,3,1.2852559848069458,18954,5.779290491219864,1.3855676919604154e-07,,,,,,-0.02317903072542027
mlp_corr_top1_s1,3,1.2854589950870634,18954,7.943322421405332,1.0442996746561179e-11,,,,,,-0.023502285032398262
mlp_own_s1,3,1.285946659070847,18954,4.91499251869488,4.637852498132433e-06,,,,,,-0.024279003512080566
mlp_corr_top1_era5_s1,3,1.2870391453843284,18954,4.868119530854806,5.570369925311224e-06,20.0,3.0,0.8571428571428571,0.3134708980830393,0.7547387832858504,-0.026020111694026182
mlp_own_era5_s0,3,1.2883047337764737,18954,4.1886185083962735,7.170216640506276e-05,,,,0.6665702614681639,0.5069645221831177,-0.02803894319057365
mlp_own_era5_s2,3,1.2886083832372974,18954,3.1499313569223215,0.0022970058093199964,,,,0.37977153603851704,0.7051213268156593,-0.028523611531231063
