name,dm_stat,p,a_better,bh_threshold,significant,model,vs,horizon
E_Salinas_Grande_Mar_Chiquita,9.914815388702445,3.539395162103981e-14,False,0.0004784688995215311,True,li_lstm_full,kalman_ar1,1
C_North_Argentina_South_Atlantic_Coast,9.3889312472269,2.5841951320476464e-13,False,0.0009569377990430622,True,li_lstm_full,kalman_ar1,1
C_Svalbard,7.020108900546871,2.501424070197461e-09,False,0.0014354066985645935,True,li_lstm_full,kalman_ar1,1
R_Saint_Lawrence_River,6.448502565555496,2.3042199165378335e-08,False,0.0019138755980861245,True,li_lstm_full,kalman_ar1,1
C_Ellef_Ringnes_Bathurst_Devon_Islands,6.271731741446622,4.5585277252703115e-08,False,0.002392344497607656,True,li_lstm_full,kalman_ar1,1
C_East_Brazil_South_Atlantic_Coast,6.170512410695422,6.728483864229041e-08,False,0.002870813397129187,True,li_lstm_full,kalman_ar1,1
R_Ob_River,6.103187326422091,8.712233521061194e-08,False,0.003349282296650718,True,li_lstm_full,kalman_ar1,1
R_Parnaiba_River,6.034055215614209,1.1353306345355775e-07,False,0.003827751196172249,True,li_lstm_full,kalman_ar1,1
C_Ellesmere_Island,5.897149164582329,1.9146893195016672e-07,False,0.0043062200956937805,True,li_lstm_full,kalman_ar1,1
R_Sao_Francisco_River,5.703469326366876,3.992939215539635e-07,False,0.004784688995215312,True,li_lstm_full,kalman_ar1,1
R_Colorado_River_Argentina,5.527122579790453,7.757204100493405e-07,False,0.005263157894736842,True,li_lstm_full,kalman_ar1,1
C_Novaya_Zemlya,5.221668559827785,2.4177264655618254e-06,False,0.005741626794258374,True,li_lstm_full,kalman_ar1,1
E_Lakes_Balkash_Alakol,5.207275126008945,2.549569858552063e-06,False,0.006220095693779904,True,li_lstm_full,kalman_ar1,1
C_Malaysian_Peninsula_Coast,5.032468606415636,4.840643772277578e-06,False,0.006698564593301436,True,li_lstm_full,kalman_ar1,1
R_Tigris_Euphrates_River,4.98970990947633,5.656308306983786e-06,False,0.007177033492822967,True,li_lstm_full,kalman_ar1,1
R_Parana_River,4.780143143652756,1.205202420710237e-05,False,0.007655502392344498,True,li_lstm_full,kalman_ar1,1
C_North_Vietnam_South_China_Coast,4.6397099402354804,1.9873822481253864e-05,False,0.008133971291866028,True,li_lstm_full,kalman_ar1,1
C_Northeast_South_America_Coast,4.586104286782286,2.4017883421753184e-05,False,0.008612440191387561,True,li_lstm_full,kalman_ar1,1
R_Mackenzie_River,4.521919864490522,3.009657545593772e-05,False,0.009090909090909092,True,li_lstm_full,kalman_ar1,1
C_Yellow_Sea_Coast,4.397567330041279,4.642250945873023e-05,False,0.009569377990430623,True,li_lstm_full,kalman_ar1,1
C_South_East_Brazil_Coast,4.245748996670657,7.824436450494343e-05,False,0.010047846889952153,True,li_lstm_full,kalman_ar1,1
C_South_Chile_South_Pacific_Coast,4.244245380970951,7.864679597007916e-05,False,0.010526315789473684,True,li_lstm_full,kalman_ar1,1
R_Mississippi_River,4.198557592766197,9.18776212144893e-05,False,0.011004784688995217,True,li_lstm_full,kalman_ar1,1
E_Syr_Darya,4.060765720497065,0.00014616438942891376,False,0.011483253588516748,True,li_lstm_full,kalman_ar1,1
C_Aleutians_South_Alaska_Coast,3.99855507140753,0.00017982102465854757,False,0.011961722488038277,True,li_lstm_full,kalman_ar1,1
