challenger,reference,horizon,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
gnn_corr_top1_s0,ridge_corr_top1,1,-0.9508309998995434,-1.433619505029674,-0.5261797238566296,4.2524684055003945,5.569374776132922e-05
gnn_corr_top1_s0,ridge_corr_top1,2,-0.27001268066728645,-0.5940465446266641,0.08717127309690946,1.7057196398248882,0.091892362983887
gnn_corr_top1_s0,ridge_corr_top1,3,-0.6845500101361646,-1.2811693120890066,-0.16199455424467277,2.2477050569484915,0.02734814616888653
gnn_corr_top1_s0,ridge_own,1,-0.6402566131033405,-1.1646712062242492,-0.04157268663487851,2.338903354033459,0.021774616555960476
gnn_corr_top1_s0,ridge_own,2,-0.3674165074109004,-0.8901071128068992,0.2713619542276039,1.349855047830987,0.18082277916815698
gnn_corr_top1_s0,ridge_own,3,-0.8773907214203902,-1.6473988086415492,-0.20771938902724557,2.361946631488958,0.02061017081654318
gnn_corr_top2_s0,gnn_corr_top1_s0,1,0.16271680256814136,-0.1972358275899727,0.5192580173804118,-0.910551635125,0.36520054760980164
gnn_corr_top2_s0,gnn_corr_top1_s0,2,-0.629449738163923,-1.135375873895661,-0.20549657095527563,2.6579069509569355,0.009470733588446434
gnn_corr_top2_s0,gnn_corr_top1_s0,3,-0.4959515535712056,-1.0229708928744359,-0.0779482269657443,1.903242644064958,0.06060581447800137
gnn_corr_top2_s0,ridge_corr_top2,1,-0.41698994580501303,-0.828528625988586,-0.0230675678721061,2.0651339127581188,0.04206942843179761
gnn_corr_top2_s0,ridge_corr_top2,2,-0.0388881848895517,-0.311986672872131,0.24367369506102066,0.2778141449890912,0.7818629088754416
gnn_corr_top2_s0,ridge_corr_top2,3,-0.17139081157384606,-0.6596532885279138,0.24659737214326283,0.7094320965553162,0.4801189466514065
gnn_corr_top1_era5_s0,ridge_corr_top1_era5,1,-1.446535328959131,-2.3061727090194375,-0.6749304281522206,3.214912444255287,0.0018671795565157372
gnn_corr_top1_era5_s0,ridge_corr_top1_era5,2,-0.9566607896618562,-1.5738542260061144,-0.466233424693838,3.2956870066387616,0.0014584011991807659
gnn_corr_top1_era5_s0,ridge_corr_top1_era5,3,-0.30525084098125266,-0.8637200581108834,0.25855720145597155,0.9942657790070314,0.3230913507763937
gnn_corr_top2_era5_s0,gnn_corr_top1_era5_s0,1,-1.8241054362265974,-3.302731927298845,-0.5103690904068264,2.6058943214225594,0.010880509134066711
gnn_corr_top2_era5_s0,gnn_corr_top1_era5_s0,2,-0.07812989133098025,-0.8253993839218117,0.6213532599267485,0.21577999102606218,0.8297016916412772
gnn_corr_top2_era5_s0,gnn_corr_top1_era5_s0,3,-0.8103527065928207,-1.409689944743769,-0.27578277133092566,2.701477757619764,0.008424853002523958
