strategy,skill_pct,n_selected_mean,dm_stat,dm_p,setting
all,0.3076491631817113,234.0,-1.2961531726074236,0.19855893820508996,p3b_kalman
oracle,1.7786767086310995,129.0,-10.29666590494785,1.9412400347430084e-16,p3b_kalman
lofo_empirical,1.120552068861047,127.8,-6.431624778643009,7.918640085554077e-09,p3b_kalman
rf_covariates,0.5521901781604721,152.2,-2.971451237543426,0.0038884197159493815,p3b_kalman
all,0.32244375675972714,234.0,-1.5927254355582923,0.11506955015201986,era5_ridge
oracle,1.761327155157566,119.0,-11.673303230681562,4.0821333661144827e-19,era5_ridge
lofo_empirical,1.0506462979610554,123.4,-6.937689116296579,8.471472230926009e-10,era5_ridge
rf_covariates,0.4952543267724874,133.0,-3.6624619084530194,0.00044131381479271884,era5_ridge
