model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstm_corr_top1_era5_s0,4,1.3213837200213547,18720,-1.0733924466790474,0.2863629055196556,,,,,,-0.0014283379795141
ridge_corr_top1,4,1.3228023520395047,18720,,,,,,,,-0.0035797507584076
ridge_corr_top1_era5,4,1.3240233918120954,18720,,,,,,0.2884307804776037,0.773772435382675,-0.0054333555074499
lstmres_own_s0,4,1.3288310564941794,18720,2.1209846860730424,0.0370593662949159,,,,,,-0.0127482752444774
lstmres_own_s1,4,1.332119458215618,18720,2.55674011510654,0.0124814770879159,,,,,,-0.0177668874450058
kalman_ar1,4,1.336299347051353,18720,,,,,,,,-0.0241639514723617
lstmres_corr_top1_s0,5,1.3673644574076684,18486,-3.2648421987466985,0.0016278895891027,20.0,20.0,0.0476190476190476,,,0.0131196651987601
lstmres_corr_top1_s1,5,1.37554215985674,18486,-0.995187003579148,0.3227226593481175,20.0,20.0,0.0476190476190476,,,0.0012800319966326
ridge_own,5,1.3764233749233163,18486,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,5,1.3775269484603876,18486,,,20.0,20.0,0.0476190476190476,,,-0.0016041807523587
lstm_own_era5_s0,5,1.377822415943525,18486,-1.4430675585092616,0.153005539566158,,,,,,-0.0020338975069325
ridge_corr_top1,5,1.3788220703437757,18486,,,,,,,,-0.0034884405039159
ridge_own_era5,5,1.380052060609655,18486,,,,,,0.868270987631155,0.3879096677844725,-0.0052795802976259
lstm_corr_top1_era5_s0,5,1.3813846293265872,18486,-0.6978200955217904,0.4873647408433419,,,,,,-0.0072218995984156
ridge_corr_top1_era5,5,1.382919571458984,18486,,,,,,0.9791066530878738,0.3305543842324066,-0.00946151663331
lstmres_nbrin_corr_top1_s1,5,1.384102324351813,18486,,,20.0,20.0,0.0476190476190476,,,-0.0111889549001018
lstm_own_era5_s1,5,1.3844439424559851,18486,1.7326991678561647,0.0871013953880149,,,,,,-0.0116881710024212
lstm_corr_top1_era5_s1,5,1.3861398646520768,18486,0.8065691111019139,0.4223672498906716,,,,,,-0.0141682935297886
lstmres_own_s0,5,1.3899566612765386,18486,3.377439351169812,0.001143753920803,,,,,,-0.0197610962889565
kalman_ar1,5,1.395072928851735,18486,,,,,,,,-0.027282155098824
lstmres_own_s1,5,1.3978155129781034,18486,3.92892193938537,0.0001831985145552,,,,,,-0.031325208411431
lstmres_corr_top1_s0,6,1.4282044807004817,18252,-3.383696807122472,0.0011272984790992,20.0,20.0,0.0476190476190476,,,0.0120001038866959
lstmres_corr_top1_s1,6,1.431678127871754,18252,-2.0151771072740297,0.0473763802898935,20.0,20.0,0.0476190476190476,,,0.0071882766408429
ridge_own,6,1.4368516855847977,18252,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,6,1.4379151629944438,18252,,,20.0,20.0,0.0476190476190476,,,-0.0014808361692806
ridge_corr_top1,6,1.439154384292396,18252,,,,,,,,-0.0032077686004068
lstm_own_era5_s0,6,1.4419429885731925,18252,-0.2919112526315672,0.7711395117347383,,,,,,-0.0070993036164137
ridge_own_era5,6,1.4424106316852718,18252,,,,,,1.5789534622851105,0.1184463067107309,-0.0077526434867656
lstmres_nbrin_corr_top1_s1,6,1.4435332909837937,18252,,,20.0,20.0,0.0476190476190476,,,-0.0093219651944951
lstm_corr_top1_era5_s0,6,1.4439118468615018,18252,-0.4046504296142446,0.686856380650522,,,,,,-0.0098514089756058
ridge_corr_top1_era5,6,1.4451966440820794,18252,,,,,,1.7026124259481117,0.0926745315126086,-0.0116493463298616
lstm_own_era5_s1,6,1.4457330311345165,18252,1.5914193591842694,0.1156126460344465,,,,,,-0.0124004362431118
kalman_ar1,6,1.4483805890107582,18252,,,,,,,,-0.016111831053903
lstm_corr_top1_era5_s1,6,1.4496371848078278,18252,0.9695419117134114,0.3353105420822787,,,,,,-0.0178757261951116
lstmres_own_s1,6,1.4553025093958485,18252,4.251931212427997,5.894685447377204e-05,,,,,,-0.0258471891962113
lstmres_own_s0,6,1.4584561559803777,18252,5.139197782283167,2.031873909462455e-06,,,,,,-0.0302980367218219
